,interaction,implementation,ts_0,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,noise_ct,noise_lin,noise_sqrt
0,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.121059821110165,1.0796697970415197,1.1010043175737037,1.1010043175737037,1.1010043175737037,1.1010043175737037,1.1010043175737037,1.1010043175737037,0.8897948968769935,0.8897948968769935,0.0,0.0,0.0
1,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.7409099835172318,0.7419431869209613,0.8846919712335991,0.8846919712335991,0.8835638952297282,0.8450655409010127,0.8450655409010127,0.8450655409010127,0.8450655409010127,0.8450655409010127,0.0,0.0,0.01
2,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.6294611747531556,0.6231769024007043,0.6130156103815403,0.6130156103815403,0.6130156103815403,0.6130156103815403,0.6130156103815403,0.6254800693749243,0.627771374241806,0.627771374241806,0.0,0.0,0.1
3,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.5708469101989105,0.5610124247995852,0.5589534520887007,0.5589534520887007,0.5589534520887007,0.5591726459705512,0.5640824467029545,0.5640824467029545,0.5640824467029545,0.5640824467029545,0.0,0.0,0.5
4,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.5532008382213118,0.5488918273377386,0.5504607567180438,0.5544150167898496,0.5544150167898496,0.5544150167898496,0.5544150167898496,0.5544150167898496,0.5672052228060145,0.5637282519109638,0.0,0.0,1.0
5,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0366173035360389,1.036381534914344,1.0516959268405832,1.0516959268405832,1.0516959268405832,1.0472674534523065,1.0311221294647772,1.0311221294647772,1.0311221294647772,1.0311221294647772,0.0,0.01,0.0
6,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0267936038389769,1.0242888070706682,1.0276723477074694,1.040920839512741,1.040920839512741,1.040920839512741,1.040920839512741,1.040920839512741,1.0481098062246001,1.0338837271351606,0.0,0.01,0.01
7,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.8232208569087566,0.8177208048910639,0.8340487599091158,0.8340487599091158,0.8340487599091158,0.8340487599091158,0.826448340388074,0.81499776938233,0.81499776938233,0.81499776938233,0.0,0.01,0.1
8,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.5889999165656872,0.5827671222448835,0.5846433687691077,0.5846433687691077,0.5852243946188685,0.5863746522726692,0.5863746522726692,0.5863746522726692,0.5863746522726692,0.5863746522726692,0.0,0.01,0.5
9,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.5554265047006579,0.5730172378718328,0.5655678564568443,0.5655678564568443,0.5655678564568443,0.5655678564568443,0.5655678564568443,0.5655678564568443,0.5526877715326011,0.5546852115859772,0.0,0.01,1.0
10,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0402944889540633,1.0505856821002124,1.0488769514211735,1.0488769514211735,1.0488769514211735,1.0488769514211735,1.0512321316911228,1.0517139446511552,1.0517139446511552,1.0517139446511552,0.0,0.1,0.0
11,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0517613032884154,1.0398085896259046,1.0389218346406504,1.0637998227252836,1.0613145343130157,1.0613145343130157,1.0613145343130157,1.0613145343130157,1.0613145343130157,1.0613145343130157,0.0,0.1,0.01
12,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0430809464336463,1.0430194430377633,1.0435098872495798,1.0435098872495798,1.0435098872495798,1.0435098872495798,1.0435098872495798,1.0329837122934264,1.0353744969163403,1.0353744969163403,0.0,0.1,0.1
13,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.9332152698250373,0.9543721930028685,0.9491605076163585,0.9491605076163585,0.9491605076163585,0.9459363386790557,0.9503563996508355,0.9503563996508355,0.9503563996508355,0.9503563996508355,0.0,0.1,0.5
14,0.05,NOISE.LANGEVIN_LINEAR_SQRT,0.8252205492889947,0.8230096398136526,0.8223289139546334,0.8224084450710822,0.8221076968171762,0.8221076968171762,0.8221076968171762,0.8221076968171762,0.8221076968171762,0.8122489750209292,0.0,0.1,1.0
15,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0402521142104808,1.0490118398803576,1.04875472069215,1.04875472069215,1.04875472069215,1.04875472069215,1.0457933237243007,1.0468991649900863,1.0468991649900863,1.0468991649900863,0.0,0.5,0.0
16,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0469257015856188,1.0536838062922087,1.0531482380562769,1.0531482380562769,1.057744351044689,1.0577114417749307,1.0577114417749307,1.0577114417749307,1.0577114417749307,1.0577114417749307,0.0,0.5,0.01
17,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.037846092131054,1.0397180404840276,1.0400381567223804,1.0400381567223804,1.0400381567223804,1.0400381567223804,1.0400381567223804,1.0400381567223804,1.0382178796321129,1.037987546773576,0.0,0.5,0.1
18,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.03282002434677,1.0529731783247835,1.0527713282180953,1.0527713282180953,1.0527713282180953,1.0383202817688453,1.0379609605929343,1.0379609605929343,1.0379609605929343,1.0379609605929343,0.0,0.5,0.5
19,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.02406906639422,1.0241976311335612,1.0244576372790797,1.0134655944513176,1.0126859883785662,1.0126859883785662,1.0126859883785662,1.0126859883785662,1.0126859883785662,1.025250158483029,0.0,0.5,1.0
