1745	1872	2252	2508	1568	1730	3023	2807	3056	2026	2145	1821.375	2626	2381	2673	3705	4264.473	2424.165	1872.164	2840	3798	4681	2538	5340	4771	1855	2177	2197.512	1411	2683.046	1893	279	10	1033	184.8192	1139	1310.864	2330	3270	1278	1249	1299	1930	1487	1781.431	2722	0	2479.466	1138.829	451.9711	180.0676
876	815	497	668	550	676	655	760	1022	374	644	716.5	813	633	889	536	927.0122	983.6379	1087.215	951	605.8828	938	805	989	842	784	642	616.4302	441	1291.194	781	190	2571	2381	971.5	939	675.6722	840	733	938	665	773	1002	696	786.8372	846	447	841.4164	1014.218	536.3254	240.984
356	376	695	365	577	553	445	428	285	765	530	640.4377	466	509	613	551	272.1324	232.8699	227.5371	255	329	19	328	169	253	444	418	452.3819	470	378.6211	641	89	1808	1218	1295	2271	2514.963	1183	257	1079	2198	944	1931	152	1139.904	1496	156	2334.301	2445.796	704.0929	273.6174
247	161	187	198	336	598	148	654	429	532	771	428.5	515	288	301	570	320.3112	258.7058	303.2889	552	602.5	1320	311	178	473	304	268	209.1877	125	362.0602	192	95	930	527	436	965	832.6418	427	1062	1235	1042	405	555	787	361.0218	445	132	322.0011	313.1773	184.2808	124.8425
416	280	740	671	1150	782	922	635	471	883	743	802.9826	485	965	775	543	378.6799	384.1693	433.7322	385	637.5022	24	323	103	134	636	793	892.3358	287	248.423	545	96	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1392	0.1430921	1.188649	0	0
368	403	201	198	214	373	284	664	500	628	601	403	501	498	406	285	265.6258	514.1586	569.0049	391	261.5	223	455	217	245	181	91	138.9753	180	216.6641	64	33	11	18	86	33	185	82	327	255	383	409	76	1210	410.2013	330	0	401.7168	549.0046	1054.921	729.4164
233	283	112	272	157	138	104	181	237	299	190	87.4431	73	178	288	121	249.4611	277.8675	335.3957	247	174	190	380	181	141	113	57	99.86537	197	332.4691	184	16	210	334	210.5	418	393.287	183	504	163	308	441	236	1229	594.232	693	31	336.9548	623.5819	899.7417	687.2318
402	485	220	358	227	130	142	297	500	331	376	159.7492	244	225	289	313	646.6858	824.0599	791.1871	450	227.4168	323	438	179	182	209	219	412.5223	264	490.635	236	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
55	62	94	45	57	41	43	70	47	34	57	42.5	32	37	45	62	51.3185	64.93315	80.07477	74	69	80	51	75	95	116	34	57.2627	79	138.2802	77	21	278	825	304.5	705	692.4005	596	602	298	344	789	792	207	352.5358	422	5	391.8584	188.4916	43.98949	31.15425
679	532	90	421	42	39	337	118	383	6	18	977.5	1223	346	226	660	498.3074	528.0987	467.1008	169	20.30243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	163	206	210	131	170	248	118	165	60	68	110.1246	154	146	147	63	267.965	139.9272	120.8548	280	205.5	432	99	494	392	89	129	136.0483	91	298.7619	184	8	3	244	23.87858	132	106.5618	128	155	144	75	90	275	80	156.5022	235	73	165.2981	101.4223	34.43301	11.65797
28	13	26	21	27	17	14	9	1	25	10	11	0	7	7	1	6.503871	7.319116	9.593561	8	9	1	8	0	4	28	20	14.43642	41	5.556667	4	20	556	393	898.8352	413	338.383	322	144	503	408	862	379	55	205.6967	124	33	138.3206	95.95927	179.7873	165.8379
24	9	45	23	53	17	10	5	3	56	0	11.5	4	7	5	2	0.4686326	3.547208	3.126316	9	82	0	13	3	3	36	39	9.717218	78	5.689283	34	11	126	429	1376	164	65.97214	608	62	338	312	468	69	10	174.4104	43	447	144.7156	128.2655	415.8178	905.1469
115	184	358	224	612	263	207	195	89	230	430	295.0329	81	238	83	84	12.45075	51.10859	112.5019	108	69	1	267	44	68	343	376	327.9687	412	129.301	463	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	172	80	88	101	134	96	272	186	253	223	141	160	191	151	90	91.98062	188.2835	210.9843	172	84	94	162	64	120	73	39	46.18804	35	81.72108	23	4	8	9	28.5	16	60.15965	34	114	100	141	132	37	404	131.036	107	81	143.3969	202.4009	366.4301	273.4229
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	310	285	60	585	544	1331.888	612	336.8807	482	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	239	41	145	52	53	29	130	153	14	68	125.5	133	99	142	96	291.1725	312.2799	291.7504	149	38.97298	96	128	40	139	56	48	64.14319	58	94.22383	77	8	0	38	63	38	60.65111	65	96	40	33	35	33	188	79.43635	82	0	43.86029	132.2045	210.9921	168.1368
157	125	56	120	51	107	24	151	209	101	122	137	225	60	94	71	50.33314	99.40582	174.3544	194	62.9848	107	112	58	30	39	78	45.38334	21	68.59032	63	13	98	10	51.5	142	134.9935	41	255	397	131	44	53	182	118.1285	100	0	108.7559	120.1965	244.9139	189.4106
29	65	49	64	33	72	44	40	69	26	54	46.20459	43	35	42	29	55.82795	51.08947	71.83136	109	51.5	118	24	52	68	49	27	32.47555	32	85.83501	77	3	397	441	133.5	252	169.7506	130	168	187	124	156	304	133	142.3957	195	121	139.104	103.6753	52.30629	26.07522
97	55	81	40	117	57	33	22	13	189	55	195.5	11	51	24	6	11.91392	16.24228	17.71024	16	42	2	16	2	7	70	78	33.18406	141	23.38672	48	48	91	3	0	43	40.79972	60	14	78	115	124	110	9	429.8846	170	267	110.959	66.59411	346.1305	606.4603
352	228	172	178	177	105	60	71	130	120	96	85	86	140	57	141	28.96051	130.8198	141.1781	44	98	55	196	153	13	112	75	262.1916	158	167.5708	144	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	116	81	73	63	139	130	110	116	80	70	82.5	91	98	71	35	67.9563	76.55708	111.0805	155	53	108	57	92	94	30	23	38.27612	38	86.80763	27	2	10	11	30.5	9	47.77538	16	84	75	76	78	36	181	99.34501	109	1	101.7708	134.0468	235.5634	129.1912
3	2	0	0	2	4	0	0	1	1	2	0.5	1	1	2	0	0	0	0	0	1.708333	0	1	0	0	0	1	1.695238	1	0	0	3	294	270	60	288	195.1969	287	153	216	149	211	79	51	286.8727	54	3	85.64747	84.15092	159.0306	176.8096
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	21.74411	219.9915	253.6101	75	21	16	73	22	29	70	74	69.24431	242	73.0614	99	9	0	0	16.99427	3	107.9035	135	56	4	94	283	22	317	171.5979	102	0	5.157019	10.66652	49.19726	56.01871
9	44	37	27	38	110	69	70	67	132	69	60.5	69	75	35	21	45.7373	37.56802	45.93817	126	48.5	151	28	53	97	20	15	23.41776	17	31.68231	9	6	4	9	14.92776	16	78.49816	20	118	109	134	143	61	313	110.3739	125	1	76.08507	68.01784	70.31926	47.95753
20	31	12	22	22	30	20	25	28	26	25	25.5	39	39	39	27	49.80234	68.60718	62.17604	23	16.5	48	25	26	23	28	23	12.47887	9	32.80828	22	4	152	155	132	68	137.9084	112	215	107	112	166	83	104	128.0209	96	10	93.93233	54.73934	21.79963	21.13324
