,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval
0,0.001,0.002235718808790503,1.3087801289320645e-05,0.785506103052985,0.022386374593166627,0.00016938024383991943,0.7771586562474491,0.04468447075728339,0.0003036789392985244,0.786649007418609,0.05607429692886133,0.0003991797717143443,0.6899667574055317,0.06707741290021275,0.0004867326676988449,0.6884650724012319
1,0.0012648552168552957,0.0022375596328112046,1.3858285338219375e-05,0.7736913073153644,0.0223742736488784,0.00016417836422279452,0.7649141602340198,0.044662749193730596,0.00031953308627593924,0.7033223982118841,0.05596296400673986,0.000335713471765329,0.6415436257581534,0.06718562378352129,0.0005387038729422259,0.640891579709328
2,0.0015998587196060573,0.0022344238420395155,1.961724174672116e-05,0.7502822545380277,0.0223690094673762,0.00017575966095417762,0.7432802101316506,0.04471408464290961,0.00027672573978970255,0.6859544455554152,0.05586735835600466,0.0003396003686146328,0.6425268787323292,0.06706596349972985,0.00035952487423815947,0.579106003919382
3,0.0020235896477251575,0.0022345115905313,1.3986939019966545e-05,0.8125575380918817,0.022366386527389454,0.0001519564214850846,0.7825899822530323,0.04472393109690797,0.0002792060789057318,0.71533110509613,0.05590433433014023,0.00046412030088526434,0.7392465307572358,0.06722158131630263,0.0003860150424508029,0.6961189021625548
4,0.002559547922699536,0.0022349815442192712,1.6139797630978193e-05,0.7806530042311599,0.022374487808823958,0.00015141275438929937,0.8069200632221839,0.04474255040630849,0.0003251458495003253,0.6776076850047323,0.05598935169670091,0.00041328710855372377,0.6590415265111176,0.06708851933076096,0.0004230320053653022,0.6256822636396148
5,0.0032374575428176433,0.0022349889530281905,1.506270728730794e-05,0.8270982604037788,0.02234676677497678,0.0001424964028171352,0.7819500453041622,0.044752905133887785,0.0003336771250435121,0.7702911204235389,0.05584861193729726,0.000395315778659911,0.7112974449435324,0.06700738794546494,0.00041929578240744464,0.753944860604194
6,0.004094915062380427,0.00223960589621969,1.725040374616621e-05,0.8011387539643339,0.02236037667693488,0.00012612180787205043,0.7372062101819921,0.044711826063422125,0.00034339853497448975,0.7002806895050568,0.055969285193114775,0.00040381341006599195,0.6903348805448479,0.06699737484741415,0.0005394374566111502,0.6097035020393686
7,0.005179474679231213,0.0022324910509437337,1.754692355523129e-05,0.755750521066431,0.022348802473249677,0.00011510365238712461,0.699215292531789,0.044735124654888284,0.00034051525127905686,0.7701556522507598,0.05595569556088787,0.0004688673504295676,0.6966638352036427,0.06720551276409444,0.0004613600443902892,0.6039557636096229
8,0.006551285568595509,0.0022378681504250358,1.4199530365875398e-05,0.7909111289067264,0.02236556583223935,0.00013437654919750558,0.8081888489338896,0.04474902297141875,0.0003005938967390898,0.7003606410611031,0.055845404711364434,0.0003451692736408384,0.6921923032624119,0.06708572903166055,0.0004892823409778257,0.6446929087630116
9,0.008286427728546842,0.0022334475813585598,1.6386685885691046e-05,0.7906799235342636,0.02237810928791103,0.00014546190249525496,0.7747257065372886,0.044736230473953593,0.0003467454188289638,0.6553296034702779,0.0560323155872444,0.00041168695896059987,0.6941898620834757,0.06720024871939122,0.00043414546572132434,0.6334809644467699
10,0.010481131341546858,0.0022396878327602637,1.5029897737945727e-05,0.8438426471833096,0.02238446963712497,0.000178770054752362,0.7819345721916859,0.04479240266993765,0.00030788371521457545,0.7089486139918474,0.055987701056428765,0.00042630013253829686,0.6694494026412195,0.06723266388512118,0.00043664940911056866,0.6497509930448776
11,0.013257113655901095,0.002237121713305954,1.4644747442897635e-05,0.7530247399478482,0.02236129495252959,0.00011854498107997214,0.7887977630274535,0.044746695949286666,0.0002878508264061252,0.750330889030054,0.055910542014848394,0.0003655346917467499,0.6939889599145608,0.06718795455817567,0.0004512991204491999,0.6691125273056439
