,ss,sigma_0.01_width,sigma_0.01_pval,sigma_0.10_width,sigma_0.10_pval,sigma_0.20_width,sigma_0.20_pval,sigma_0.25_width,sigma_0.25_pval,sigma_0.30_width,sigma_0.30_pval
0,0.001,0.002244165677780603,0.8190469685228617,0.022430910658577788,0.7470697544306468,0.04456264555788032,0.7519170639947717,0.05604594048029414,0.5243528299113155,0.06709316913197522,0.7038871259879352
1,0.0012648552168552957,0.002238735951273344,0.9045037079145499,0.022403723826946477,0.8037685520908896,0.04477662056204861,0.7079558312600913,0.05599263134752912,0.5462685704878674,0.06728545253856635,0.5754121345375688
2,0.0015998587196060573,0.0022361265187943635,0.6979034427578902,0.02247885783179546,0.834532291942644,0.04474368981333467,0.707852420523891,0.05592050226950028,0.7647083349436155,0.06706311482370766,0.6265874605756774
3,0.0020235896477251575,0.0022392592740102615,0.8805998340739217,0.022381291839155507,0.6923940136780187,0.04487748665888404,0.8705700992917901,0.055827034458532585,0.6324120611042654,0.06710285578117599,0.7581802930211813
4,0.002559547922699536,0.0022327805291969868,0.8189566773643348,0.022332003946616608,0.6871962005401111,0.04465203363485502,0.7902692042796616,0.05591771011745773,0.5156272730239012,0.06725338308759216,0.48813033551339113
5,0.0032374575428176433,0.002227110105933991,0.8522491477874533,0.02237704091497983,0.7921815709824581,0.044671706796023336,0.8131559041331304,0.056000293880855256,0.6768494012558955,0.0671510000280205,0.6199734855326328
6,0.004094915062380427,0.0022303459536701766,0.8107572150454025,0.022353676286614534,0.7762222900630098,0.044696875200060965,0.7413384868846636,0.05592656059616452,0.7537640159191238,0.06745110057037929,0.7435165041115245
7,0.005179474679231213,0.002236532083052931,0.8204596914527649,0.022328721242166817,0.9248956144371325,0.04463435376224912,0.7464152842238706,0.056128430667864236,0.7486051352473163,0.06708250200753793,0.741526812612817
8,0.006551285568595509,0.002241275811500484,0.7195696823018056,0.022383228899216786,0.7809628765426048,0.044745945927479,0.7252156027040747,0.05591448656283053,0.8060995295790685,0.06704990966690602,0.7590543770041297
9,0.008286427728546842,0.0022272056451557117,0.7310298333301345,0.02233488246818937,0.6750853277726419,0.04469021007659564,0.841854752949323,0.055984444248395125,0.7023198856567283,0.06689597986602035,0.6018544621449677
10,0.010481131341546858,0.002241477318215965,0.8066065130468763,0.022449431260007046,0.7518428162015819,0.04454404082858534,0.9192673716126313,0.05570679749502011,0.6860079805137819,0.06704102315501408,0.6324592186445306
11,0.013257113655901095,0.002225516055899897,0.7190081500405207,0.02235793785382191,0.8379140415170486,0.044650066051959626,0.7538897914262019,0.05612793635928256,0.6893025463803055,0.06757784323085061,0.7995731317109445
12,0.016768329368110083,0.0022380884528760687,0.7550197426411819,0.022355821775231106,0.7548963636836342,0.04483228659229238,0.6651537604000597,0.056036770575888975,0.6534801498536413,0.06734973805095927,0.7741044186800563
13,0.021209508879201904,0.0022338490909882313,0.7081800966053102,0.02241484977268197,0.7678792360306871,0.04471580679512806,0.745582387344235,0.05586157100115376,0.8731523623325108,0.06716437077318027,0.6499311975828507
14,0.02682695795279726,0.002233861160613797,0.7896764873074547,0.022370483252201805,0.791773592595405,0.044780763365356184,0.9179114058935731,0.05582805533018148,0.6511663005155615,0.06716169407066006,0.5417332809857955
15,0.0339322177189533,0.002237183064029508,0.8214340920540579,0.02236078431437203,0.7578487502242678,0.04480425516299704,0.8156488841739415,0.055943186936277624,0.6022797411902238,0.06721199074815017,0.6509146350651641
16,0.04291934260128778,0.0022388848367405467,0.8880007722833174,0.02252840684475189,0.805360255419399,0.04471412216079376,0.5776057994183551,0.056124449679579705,0.6030609514106795,0.0672431077208228,0.7024505745806005
17,0.054286754393238594,0.0022337874305496997,0.7390559187917304,0.022312868934957174,0.7793287904992152,0.04455905794978262,0.7204561518505128,0.05616849268766473,0.7086198805801374,0.06721841466261494,0.510011490628558
18,0.06866488450043001,0.0022340946186254706,0.823985792045242,0.022303353736633363,0.7249819507889071,0.04471073514613518,0.5867285914392874,0.05582820321879491,0.5784718104546582,0.06714085116803373,0.6794652176942548
19,0.08685113737513529,0.0022218038848634096,0.7655135363348555,0.022311590668607984,0.8643488903783585,0.04457642309886775,0.7087399394796174,0.056019932040744,0.6578676437719897,0.06693189064148881,0.6209224424352572
20,0.10985411419875583,0.0022275107248057096,0.7111042335803437,0.02230889947520016,0.7118444153847676,0.04492863600904813,0.6762234201624036,0.056145640655842696,0.5265767338882775,0.06714574259409531,0.42716002824655136
21,0.13894954943731375,0.0022493441588584814,0.7963197929983195,0.022234771220327153,0.6533989353428368,0.04474856505960823,0.7288884969331665,0.05596111782958396,0.5175648548518714,0.0669736375135632,0.5587713553863505
22,0.1757510624854793,0.00224367769235289,0.7948587522530658,0.02227789100248401,0.8077623064743603,0.04468336034470462,0.7347510807703725,0.05573301076727442,0.6801745717990031,0.0671031348097411,0.6055556854213519
23,0.22229964825261955,0.002226910084611799,0.6928477230365594,0.02235319939592747,0.7072547280846505,0.04451202722327193,0.7950812412540753,0.05600294195211475,0.7689652162248387,0.06704210978401234,0.7546265555270875
24,0.28117686979742307,0.0022380371954035154,0.7606351031430352,0.0223228063891209,0.8289179756922763,0.04468196589234154,0.66540319403418,0.0557378916315994,0.596677788600873,0.06686219970717415,0.648943801241456
25,0.35564803062231287,0.0022329930193533435,0.8880891277855245,0.022355738326122924,0.8071029284136658,0.04471880041507288,0.7058752557754442,0.05595002811402555,0.8432679371554939,0.06681885097903538,0.6000897031344661
26,0.4498432668969444,0.0022277972939693373,0.8069699993427178,0.02229721424280756,0.8510047683987716,0.04458073423820134,0.664294987230242,0.05579657682953413,0.5006758969078025,0.06705889462306797,0.702020595796533
27,0.5689866029018299,0.0022246392295253463,0.8912586322960918,0.022374052836871234,0.827520555492146,0.044700348702972216,0.7987554217279661,0.055963060865953616,0.7259559530923481,0.06704684340897762,0.6511178527055728
28,0.7196856730011522,0.0022272104150052206,0.7402436770124492,0.02233374206698067,0.7435273618453613,0.04478398047706041,0.6730715479656455,0.055698074581313504,0.779839300162581,0.06719114713609883,0.5781068494507796
29,0.9102981779915218,0.002221991038260851,0.9328180713112119,0.02229527246750286,0.8446995828456971,0.04469685160270454,0.7855682327986989,0.05565807989288831,0.8359406571859169,0.06686290511207144,0.6198107964650682
30,1.151395399326448,0.0022262215891048257,0.8119213772843021,0.022329780242287007,0.7196305377963887,0.044468397038819524,0.6783576843997963,0.05597535112753501,0.6508258355835855,0.06664502070307754,0.8719723126754365
31,1.4563484775012443,0.0022365745647901117,0.8389794792963388,0.022301604961539146,0.6875946248528191,0.04454568397082279,0.7232689756322158,0.05541209041427799,0.799775603459428,0.06652011673839725,0.7189810070687226
32,1.8420699693267164,0.0022275405831754394,0.8686065822071616,0.022307731380969885,0.7232852403487054,0.04448442724188595,0.8133047162324918,0.05559663956809545,0.6389752202165997,0.06666804377845456,0.5688862848580198
33,2.329951810515372,0.0022226919663119976,0.7797717751857753,0.022191060982898803,0.7811484713512526,0.044277095322729366,0.7761040580206295,0.05557536120045932,0.6356986978815682,0.06660143225500201,0.6863909126216765
34,2.9470517025518097,0.0022199672209223557,0.6880600748090718,0.022128432153139983,0.7575678876989691,0.04410001427119746,0.8161382492935951,0.0552809452198776,0.7983073856866634,0.0664477904260298,0.6018785344860903
35,3.7275937203149416,0.002217699076502309,0.6547308390127232,0.022037318084137416,0.8084203110820866,0.04403709371745977,0.582327066773739,0.05537364589797433,0.5994712994601352,0.06625651743778883,0.6101019627453493
36,4.714866363457395,0.002212915768557834,0.7068936469546367,0.021988349561519314,0.7460615492797642,0.044187475503203365,0.7067049409623676,0.05489595104042137,0.8241172127993197,0.06592802386104173,0.7643029283227321
37,5.963623316594643,0.002205799889815355,0.7445491972176899,0.02196547793468723,0.7767593835141426,0.043734709155592306,0.8590469650244048,0.054593042345087495,0.7301105699389654,0.06557828237681514,0.7372761020168654
38,7.543120063354623,0.002197688559977519,0.6723208962530349,0.02172842165860028,0.8660994908883038,0.04325928748151734,0.7837627981768047,0.054715466839465335,0.7418449288241038,0.06539703489208612,0.8668944908651651
39,9.540954763499943,0.002177922817212189,0.7295645397313558,0.02158085978074989,0.5532065708426933,0.04331923548385924,0.7738706053207183,0.05405911746094877,0.8018472578614423,0.0648497490331031,0.4994618258754454
40,12.067926406393289,0.002173779331123993,0.5003361224629194,0.021425953504431435,0.8401029109706594,0.04256925336268298,0.7816582825254667,0.053295103564343804,0.6101004628823745,0.06419743965058665,0.811012760685087
41,15.264179671752334,0.002143328705483486,0.6309295024045591,0.021210810549891646,0.6392603999914834,0.04241136464682418,0.7276143598048825,0.05297552580548428,0.7447787336874839,0.0632469578253275,0.566180323270933
42,19.306977288832496,0.002113154616862181,0.7273661919168005,0.020905845967451323,0.8218911059236509,0.041353815211629306,0.8446426618743187,0.051888742584890415,0.6418780944185608,0.06302395137674326,0.6530886265580108
43,24.420530945486497,0.0021377086374732165,0.5040781704462713,0.020433739164922957,0.8053547153325834,0.041022655651973224,0.7661241851898893,0.05134491913589413,0.7166948119971,0.061558884153838124,0.5810324218628111
44,30.88843596477485,0.002161386876289038,0.281273723889071,0.01999482796834211,0.702680821936105,0.040039005707180074,0.8563036387774103,0.04965968089242288,0.8569533180887186,0.05998430379124605,0.646809795640628
45,39.06939937054621,0.002009579870417967,0.5501389567886962,0.01947657624063279,0.7933888191043683,0.038852071600013284,0.8628105644578209,0.04852473405094876,0.8488082143359403,0.057984543703695726,0.7583672600360283
46,49.417133613238384,0.001993159271821776,0.5959692322079342,0.018743944192528825,0.8484608923191214,0.03758235541976228,0.6909390626575551,0.04677643368340102,0.6759147414232161,0.05607947095873861,0.7803087636214545
47,62.50551925273976,0.0020731772460187165,0.2615551455100644,0.017937576400102,0.776540806574143,0.03578299898193807,0.8453455317437383,0.04509427226197336,0.7673691681265673,0.053859722890001537,0.6921065014257801
48,79.06043210907701,0.001936573560050075,0.20948102673303354,0.01714578908675011,0.8635522730489621,0.03405813276748192,0.8349850873269379,0.04258738055016787,0.6621310501484328,0.05112986761906883,0.8395734559029012
49,100.0,0.0017899018532331217,0.031036364603092316,0.016058556195992602,0.6909354846380675,0.03215921559725541,0.863250137869664,0.04022770462312031,0.8394379373717525,0.048603029044102644,0.7307093095877516
