,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
16,0.042919343,0.002239212,1.61E-05,0.726365786,0.022345653,0.000165712,0.774053118,0.044764768,0.000264059,0.725958531,0.05596789,0.000396613,0.682034552,0.067116936,0.000395503,0.682297468,0.112163041,0.000865489,0.562242237,0.15775377,0.001155186,0.367210451,0.180126799,0.001259982,0.254342493,0.226355979,0.001566172,0.119191767
17,0.054286754,0.002242979,1.88E-05,0.797609826,0.022355295,0.00016388,0.772843413,0.044743124,0.000311841,0.723057682,0.055858668,0.000388543,0.72584912,0.067239646,0.000374143,0.693618508,0.112096969,0.000730482,0.48536869,0.157318224,0.000857726,0.359277785,0.180034789,0.001388414,0.267551146,0.226563486,0.001600387,0.124669739
18,0.068664885,0.002237952,1.47E-05,0.783998592,0.022386804,0.000150344,0.808315189,0.044783104,0.000297535,0.756317706,0.055863589,0.000408838,0.715679306,0.067192772,0.00049086,0.631101342,0.112239725,0.000864283,0.518290206,0.157308878,0.001038031,0.320601702,0.180094774,0.001198954,0.227065146,0.22627539,0.001494542,0.141243286
19,0.086851137,0.002236775,1.42E-05,0.772502146,0.022380387,0.000170075,0.727525027,0.044749786,0.000276911,0.695352327,0.055935113,0.000408535,0.697158907,0.067162455,0.000453944,0.67327946,0.112128582,0.00085437,0.519758887,0.157204786,0.001174254,0.259806319,0.180159674,0.001250301,0.278230283,0.226592616,0.001946698,0.153538386
20,0.109854114,0.002241014,1.39E-05,0.819950592,0.022401028,0.000167301,0.793635785,0.044745865,0.00029671,0.713142685,0.055993482,0.000420713,0.677707808,0.067070666,0.000473224,0.601307257,0.112067936,0.000740047,0.410676331,0.157252212,0.001023723,0.360924728,0.18038219,0.001084106,0.258487887,0.226331807,0.001745165,0.122298253
21,0.138949549,0.002245676,1.69E-05,0.798624842,0.022378045,0.000137943,0.714794784,0.044763765,0.000322436,0.781153078,0.05590803,0.000391514,0.695417123,0.067090839,0.000372152,0.69068434,0.112092553,0.000927886,0.491407009,0.157215673,0.000970249,0.342860172,0.179969597,0.001245486,0.21987799,0.226152556,0.001666438,0.137456827
22,0.175751062,0.002238804,1.77E-05,0.777879914,0.022348603,0.000154525,0.791763524,0.044753145,0.000324131,0.725217898,0.055881301,0.000320879,0.696965042,0.067226678,0.000429629,0.587138451,0.112035037,0.00071516,0.478349406,0.157257133,0.000974207,0.321425102,0.179774762,0.001336871,0.240119185,0.225861194,0.001505284,0.142369481
23,0.222299648,0.002241912,1.29E-05,0.785608207,0.022434601,0.000222564,0.780100361,0.044768475,0.000301764,0.704773338,0.055830291,0.000397769,0.690157957,0.067072488,0.000396121,0.742967793,0.112277931,0.000831968,0.510168409,0.157214368,0.001054683,0.339801737,0.180106162,0.001395088,0.280729349,0.225666713,0.00141094,0.163048867
24,0.28117687,0.002259391,1.96E-05,0.77571399,0.022394495,0.000156752,0.748270953,0.044791431,0.000359284,0.717355996,0.056070263,0.000449954,0.722734852,0.067249411,0.000409653,0.619747346,0.112124536,0.000627025,0.464692633,0.157322414,0.001023101,0.328875379,0.179752595,0.001348603,0.245724688,0.225775213,0.001428035,0.111361356
25,0.355648031,0.002239082,1.46E-05,0.816592792,0.022428286,0.000211201,0.747103861,0.044802907,0.000320323,0.697182801,0.056052079,0.000403559,0.653403822,0.067400562,0.000532472,0.681712412,0.112137895,0.000801811,0.505439978,0.157247236,0.001212669,0.315571934,0.179910129,0.001132533,0.241096271,0.225916473,0.001978525,0.145385141
