,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
0,0.001,0.002236738,1.93E-05,0.773775251,0.022365863,0.000162428,0.668389352,0.044812033,0.000307074,0.738732659,0.05594251,0.000388621,0.676764852,0.067099814,0.000468107,0.64626539,0.11205549,0.000906659,0.489412561,0.157556463,0.00121723,0.291931883,0.18063095,0.001291007,0.259646978,0.226572909,0.001259704,0.160650349
1,0.001264855,0.00223546,1.34E-05,0.804304171,0.022403543,0.000142266,0.8050663,0.044726781,0.000324955,0.752896783,0.055973743,0.000438826,0.673281621,0.067170072,0.00048084,0.642581432,0.111968028,0.000822693,0.494132993,0.157772391,0.001193553,0.341602001,0.180600266,0.001152192,0.218911625,0.226647681,0.001663139,0.143730737
2,0.001599859,0.002237455,1.67E-05,0.752866484,0.022371012,0.000172765,0.769059159,0.044762521,0.000305569,0.747680858,0.055886731,0.000400571,0.638330083,0.067046093,0.000522728,0.678860864,0.112248824,0.000795948,0.438513681,0.157851777,0.001128519,0.336458877,0.180123676,0.001338038,0.224453729,0.227167874,0.001381897,0.123625071
3,0.00202359,0.002236688,1.73E-05,0.745805719,0.022391472,0.000133184,0.766012686,0.044737391,0.000330781,0.727129725,0.055987741,0.000343439,0.719840657,0.067062101,0.00040675,0.66016042,0.112029949,0.000707948,0.510650449,0.157486732,0.001228519,0.333320381,0.180403029,0.00139672,0.194622219,0.226552628,0.001225092,0.13205928
4,0.002559548,0.002231537,1.59E-05,0.815097042,0.0223363,0.000170617,0.734391032,0.04468859,0.000294292,0.713272979,0.055997946,0.000430956,0.705658596,0.067137883,0.000376834,0.621824906,0.112302258,0.000752537,0.492465638,0.157214127,0.00114226,0.391580802,0.180061341,0.001276595,0.224236548,0.226567297,0.001735856,0.163409883
5,0.003237458,0.002226769,1.43E-05,0.737158225,0.022371946,0.000164298,0.755290499,0.044796555,0.000316267,0.742508315,0.055881277,0.000322383,0.704546402,0.067018326,0.000380769,0.669591984,0.112004304,0.000815507,0.491444184,0.157345431,0.001086958,0.297387967,0.180654508,0.001225343,0.262069495,0.226674946,0.001441838,0.118013194
6,0.004094915,0.002237965,1.41E-05,0.781497731,0.022357947,0.000165791,0.759784449,0.044823843,0.00029094,0.767265487,0.05588308,0.000306689,0.678740904,0.067211083,0.00046088,0.678787665,0.112439631,0.000727282,0.57932062,0.157395354,0.001128273,0.353859987,0.180083858,0.001364822,0.251627416,0.226600081,0.001714492,0.164271508
7,0.005179475,0.002235608,1.30E-05,0.801005542,0.022375736,0.000131575,0.769647257,0.044673214,0.000283111,0.708604693,0.055955715,0.00036186,0.69503668,0.067124456,0.000525005,0.644515366,0.111884168,0.000926741,0.545431892,0.157757724,0.001250842,0.339639401,0.180410221,0.00124265,0.24894706,0.22637118,0.001497821,0.128036543
8,0.006551286,0.002233026,1.61E-05,0.747336388,0.022356669,0.000170909,0.765751588,0.044728271,0.000280103,0.734010912,0.055900827,0.000471846,0.646021769,0.067081294,0.000448873,0.699173193,0.112126523,0.000711584,0.497437699,0.157521458,0.001111628,0.339014599,0.180424886,0.00111731,0.244279991,0.226156625,0.001456247,0.130987141
9,0.008286428,0.002236969,1.34E-05,0.746246312,0.022359464,0.000124059,0.764131629,0.044683876,0.000347833,0.741630264,0.05584414,0.000445793,0.751445007,0.067121774,0.000435309,0.712813461,0.112280175,0.000739027,0.482880139,0.157357902,0.001138524,0.33875926,0.180094789,0.001055439,0.250322816,0.226393093,0.001570245,0.13783988
10,0.010481131,0.002234229,1.32E-05,0.757335729,0.022375081,0.000143882,0.812710868,0.044766105,0.000261385,0.73442397,0.055855231,0.00046671,0.655866622,0.067209124,0.000512355,0.62271692,0.112234983,0.000622418,0.530102319,0.157715067,0.001007639,0.325387755,0.180255868,0.001195794,0.289370432,0.226719978,0.00184933,0.134703594
11,0.013257114,0.002235997,1.60E-05,0.775119767,0.022338534,0.000155754,0.739560094,0.04470696,0.000290375,0.744856463,0.055930812,0.000365385,0.724341588,0.067154386,0.00043522,0.656815807,0.112113442,0.000780069,0.466187499,0.157516485,0.00100641,0.329403166,0.180643193,0.001206537,0.222079065,0.226251982,0.001542686,0.11397413
12,0.016768329,0.002235561,1.51E-05,0.811002314,0.022361368,0.000143864,0.732667343,0.044726223,0.000302593,0.710407972,0.055958279,0.000332262,0.693498364,0.067011235,0.000383862,0.63296064,0.112054293,0.000742658,0.464565725,0.157653963,0.001209874,0.266282648,0.180323037,0.001273398,0.24732594,0.226385071,0.00177956,0.148951364
13,0.021209509,0.002238998,1.46E-05,0.789667417,0.022365028,0.000162888,0.790202263,0.044704634,0.000346571,0.734376402,0.055992249,0.000402607,0.676044492,0.067244945,0.000464054,0.685159167,0.112012324,0.000608846,0.4966466,0.157541943,0.001070162,0.341738847,0.180486122,0.001283447,0.218751217,0.226487055,0.00184839,0.123232612
14,0.026826958,0.002239812,1.49E-05,0.803805477,0.022354854,0.000156482,0.753708632,0.044704804,0.00029241,0.699354497,0.055936149,0.000452828,0.643641025,0.067267217,0.000476293,0.700292233,0.112007898,0.000789004,0.481413591,0.157912491,0.001037879,0.271469836,0.180349763,0.001127479,0.282503994,0.226751158,0.001931091,0.158906131
15,0.033932218,0.002232991,1.51E-05,0.762963318,0.022352667,0.000164896,0.790457857,0.04470021,0.000338358,0.706381248,0.05595857,0.000418043,0.740706115,0.06714855,0.000487416,0.651916629,0.111906586,0.000730251,0.481781953,0.157511168,0.001162964,0.362386961,0.180005133,0.001363763,0.279143917,0.226562758,0.001594094,0.091354408
