,ss,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
0,0.001,0.11212156283312874,0.0008172690187479181,0.5063516027331288,0.15767371514108708,0.001211074099025557,0.2993510385858001,0.18029408272105027,0.0013633836971959866,0.2385955682568622,0.22625622367619724,0.0013875688365651805,0.1505710344744409
1,0.0012648552168552957,0.1122454712323247,0.0008341006330235024,0.525718003154572,0.1574906544597084,0.0012338179899247697,0.3099247203782936,0.18009182400491824,0.0011867377611355409,0.2006785734031786,0.22648047560608936,0.0013502855825864933,0.12811514902632093
2,0.0015998587196060573,0.11206559956437104,0.00077149465926867,0.5191098887324566,0.15739768122597164,0.001264717321352029,0.3464624424914981,0.18015035724686343,0.001247702490363849,0.2605755334139064,0.22642766949128926,0.0017224602574558293,0.13691106967427108
3,0.0020235896477251575,0.11214262391941004,0.0008155724760098597,0.5444715284837615,0.15757757037216769,0.001089636077035623,0.2703934513487155,0.1799189450427465,0.001371671992685052,0.2421403515233541,0.22700989575569497,0.0013845703024810124,0.10152542621271493
4,0.002559547922699536,0.11196758759966541,0.0009261406473279805,0.5056496336068792,0.15760564789259543,0.001084005279316956,0.329647893449573,0.18029000731382155,0.001526020553711132,0.24441116359858936,0.22640002291173872,0.0017137103815443727,0.140343417283563
5,0.0032374575428176433,0.11224374653783098,0.0007726757426439307,0.5122251587932799,0.1574579743433784,0.0011937240651241797,0.2831838400398039,0.1805577537719542,0.0013297133909649862,0.2708374169080189,0.2266239397074339,0.0016600226548983315,0.13900620038588696
6,0.004094915062380427,0.11198790852375408,0.0007540671851553419,0.48800875753708534,0.15750159601230115,0.0010589372898839827,0.27171878285566725,0.18027702070802384,0.0012908625377549404,0.25732622515996534,0.22632214512533527,0.001448250924722051,0.09969279607086469
7,0.005179474679231213,0.11229495072911702,0.0008257172442255863,0.484623263836063,0.15752633133449317,0.0009895523955235745,0.33201950031862537,0.1804168069988404,0.0011417381124944068,0.2459655249640097,0.2262346354617068,0.0015926419977929564,0.12056592349310158
8,0.006551285568595509,0.11219516974311512,0.000908934324373239,0.4688223119548553,0.15738337324585416,0.0009561399852305117,0.3344603550032844,0.18022108411177368,0.0012157721749687634,0.2818488510274955,0.2265785940823863,0.0016789587265939713,0.11846501546278228
9,0.008286427728546842,0.11228266962581436,0.0008251182439976878,0.519055329967839,0.15751299741601799,0.0009863422580646114,0.2817679774522343,0.18007320190047715,0.001276347669148992,0.24806445956381015,0.22617780708042595,0.0015384554967281159,0.149146800769035
