,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval
0,0.001,0.0022361286339799284,1.532973996421938e-05,0.7786493516509927,0.022383603248446952,0.0001797375765596604,0.7607462629826065,0.04475026840112795,0.00036252948548836137,0.7317773673191371,0.05599977659014353,0.0003859319173728435,0.6995354838555463,0.06710513313318031,0.0004424000015659187,0.6521387833606651
1,0.0012648552168552957,0.0022342108102306195,1.4955019915840094e-05,0.7608028311006708,0.022355844693507078,0.00014060472130463856,0.7046840838890447,0.044764790658284016,0.00035878225248965904,0.7536045313864976,0.055948899287472924,0.00042763922467988863,0.6898554911084053,0.06709479347158165,0.0005318268602980522,0.6335636199823914
2,0.0015998587196060573,0.002232941020004782,1.380685872515862e-05,0.7639474918688817,0.022327779321576056,0.00016510931082818208,0.730904536165882,0.04477406741149004,0.00030233341370381476,0.7061741756930866,0.055975660530805715,0.0003425268964239933,0.7463614819316511,0.06713458334582369,0.0004873145070692158,0.6651399883713088
3,0.0020235896477251575,0.0022343049291882852,1.6058398808728925e-05,0.7750503498485446,0.02237272229501612,0.0001570193927305317,0.729933568388504,0.04475702235013074,0.00034353728707434394,0.6750408968107038,0.05592366400131934,0.00032787877552066817,0.7126233986536787,0.06714510720534199,0.0005088661882764266,0.6426920733353338
4,0.002559547922699536,0.0022368742969865667,1.892417862562436e-05,0.7852925514955329,0.022370196367274556,0.0001470825205328824,0.766077068917518,0.044749959060341536,0.00028472372166169385,0.7373484590383097,0.05592867828686041,0.00038062671808252645,0.6937087757150168,0.06717182421796387,0.0005420727807679016,0.6747966222610904
5,0.0032374575428176433,0.0022314317344072133,1.822879547452249e-05,0.7733506461044722,0.022359225825486665,0.00018239900942386796,0.8301717566455022,0.04474034659068992,0.00030128519017552066,0.6958172505195832,0.055899868460653604,0.0003971995703836948,0.7003876475831405,0.06711837393440398,0.0004877426800207289,0.6342219618521048
6,0.004094915062380427,0.0022337280835422663,1.4034598907467873e-05,0.8082681660008418,0.022366148249758497,0.00012933951212178217,0.7407748541137847,0.044727344545853365,0.0002858121237973271,0.7588539935501131,0.05587021052979948,0.00036005829579319003,0.6879864916575302,0.06722896554313793,0.0004742769721345964,0.6817900893333843
7,0.005179474679231213,0.002237596872359926,1.4794078865990184e-05,0.7839873583832626,0.022380574670762682,0.00016351029035398213,0.8089164786821571,0.04472311008920265,0.00029623531674664367,0.7125433136603085,0.05598095274770938,0.00028194207013564965,0.6552478583316279,0.06717781544690248,0.0004233243803753289,0.6611352701312078
8,0.006551285568595509,0.0022335181489698723,1.5877605684982563e-05,0.7680507098459843,0.022348261805685322,0.00014782857852213075,0.7507333079273911,0.044776329146803434,0.0002742682993234574,0.7693256122351307,0.05594384615039614,0.0004381772207710724,0.678545047548092,0.06713376754672418,0.00046910063928043373,0.6718305984711935
9,0.008286427728546842,0.002235994478671788,1.609755691956582e-05,0.7138606121247261,0.022336674098651352,0.00016054020745039796,0.7944677195983425,0.04472993923053382,0.0003131090882253619,0.7391102419672315,0.05592650925839316,0.000381461273193,0.6716076106598134,0.06725268080686889,0.0004403718137436466,0.6126821471155118
10,0.010481131341546858,0.0022335553684985692,1.3297492312720301e-05,0.8022340700643436,0.02238310178680314,0.0001836995488392579,0.7429024484702699,0.04473900587505142,0.00034270669482713964,0.7473288890015106,0.05594683985751362,0.0003655332142084128,0.7212842759989005,0.06718724782176275,0.0005491478271501039,0.6631068791808921
11,0.013257113655901095,0.0022379907507692485,1.5712150865534937e-05,0.7543763535819263,0.022339962339073337,0.0001692678831138937,0.7154142298648061,0.0447809598103744,0.0003584417740493734,0.7138319270981952,0.055923660228723054,0.000346903294281131,0.6939507009531662,0.06712402963989118,0.0005142680564463268,0.7183598886026311
12,0.016768329368110083,0.002239668987437706,1.526547129017732e-05,0.7450263487170915,0.02237233739580461,0.00013873822909474002,0.7671258053781044,0.0446297610913149,0.00033352394209951067,0.7634481337622913,0.05594622215490313,0.00036594717049305266,0.6765226899483123,0.06718107098328835,0.00043609499166565296,0.6158002079511105
13,0.021209508879201904,0.0022408751311478983,1.3068699109552226e-05,0.7454660618990304,0.022363609205815593,0.00017760090364231113,0.7963131638665287,0.04470014167377643,0.00034615086381118023,0.7001593990250009,0.05599446261965237,0.0004026999983001863,0.6676853909010547,0.0670829894392154,0.0004331703471962482,0.6987544613031785
