,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
16,0.042919343,0.002235751,1.74E-05,0.766226024,0.022354419,0.000142496,0.748506379,0.044772513,0.000346104,0.712278282,0.055956696,0.000370774,0.659502862,0.06702728,0.000492911,0.681609346,0.112036464,0.000748118,0.547014401,0.157667728,0.000949595,0.288372471,0.180239365,0.001329753,0.250345281,0.226327702,0.001562106,0.138872177
17,0.054286754,0.002237652,1.52E-05,0.827924509,0.022343949,0.000131591,0.772356374,0.044727467,0.000298315,0.724615591,0.055944992,0.000397688,0.676743859,0.067166204,0.000458865,0.703510558,0.112116942,0.000624068,0.491304391,0.157461146,0.001186389,0.348030771,0.180078152,0.00109899,0.219133151,0.226333622,0.001726625,0.128378595
18,0.068664885,0.002236609,1.55E-05,0.746769005,0.022360396,0.00015161,0.776611742,0.04470605,0.000297722,0.691145007,0.055936463,0.000398433,0.734284132,0.067091367,0.000498218,0.686934584,0.112189848,0.000784092,0.482367789,0.157216073,0.001274005,0.309077712,0.180340773,0.001036678,0.221909282,0.226476315,0.001671553,0.122022838
19,0.086851137,0.002233301,1.49E-05,0.796986696,0.022359728,0.000159757,0.875512825,0.04468771,0.000292929,0.750794813,0.055899762,0.000420147,0.731934939,0.067005585,0.000464901,0.608684428,0.111978247,0.000848193,0.485917104,0.157459316,0.001091993,0.317557605,0.180291766,0.00120634,0.290234838,0.226259399,0.001696572,0.131010354
20,0.109854114,0.00223157,1.71E-05,0.752164371,0.02231588,0.000171271,0.751555375,0.044681977,0.000266449,0.71773411,0.055933468,0.000330901,0.620634248,0.067161271,0.000433162,0.643186357,0.112064762,0.000750838,0.469969913,0.157195268,0.001087951,0.350953465,0.180042672,0.00127002,0.269133952,0.226282086,0.001309712,0.147050495
21,0.138949549,0.002234269,1.66E-05,0.773541184,0.022318437,0.000165192,0.774461654,0.044707213,0.000343564,0.767645132,0.055924351,0.000332618,0.674273159,0.067070949,0.000484481,0.664344688,0.111742185,0.000799011,0.447697788,0.15727903,0.000967394,0.305694246,0.180123045,0.001445991,0.242254408,0.225944733,0.001693612,0.10676944
22,0.175751062,0.002237618,1.79E-05,0.833704874,0.022333192,0.000144025,0.774855445,0.044636986,0.000260616,0.713936665,0.055864582,0.000374594,0.706519459,0.067117425,0.000478767,0.649393015,0.111932151,0.000875656,0.496906267,0.156871345,0.00111001,0.310857099,0.179758428,0.00105972,0.248743004,0.226617363,0.001846542,0.155357398
23,0.222299648,0.002235609,1.43E-05,0.828225786,0.022371523,0.0001459,0.747227979,0.044644656,0.00025386,0.754635854,0.05588483,0.00036195,0.745529222,0.066978286,0.000541181,0.634132674,0.111820977,0.000813692,0.419872676,0.15729116,0.00104376,0.33621679,0.17971181,0.001358581,0.250636825,0.22610251,0.001479026,0.102226149
24,0.28117687,0.002228952,1.54E-05,0.78321014,0.022306424,0.000138422,0.81643228,0.04464535,0.000292977,0.670341597,0.055736296,0.000402425,0.709595836,0.06695492,0.000392349,0.656271407,0.111756251,0.000810469,0.544155361,0.157219774,0.001074633,0.299201301,0.179565645,0.001247023,0.248772491,0.226112349,0.001837013,0.135578249
25,0.355648031,0.002230634,1.65E-05,0.799078666,0.022303191,0.000154215,0.751259523,0.04451021,0.000294772,0.770647626,0.055812636,0.000334645,0.7600075,0.067017808,0.000516981,0.5989891,0.111778445,0.000863954,0.541385266,0.157313892,0.001099287,0.346043443,0.179735138,0.001282405,0.206542452,0.225404384,0.001520521,0.14661393
26,0.449843267,0.002231849,1.55E-05,0.772362703,0.022268483,0.000165078,0.803381202,0.04460418,0.000291331,0.758755234,0.055687625,0.000315257,0.714495581,0.066941599,0.00050258,0.653956775,0.111682405,0.000870207,0.522059103,0.156407784,0.001057385,0.349749161,0.179601619,0.001646483,0.261862857,0.225490725,0.001661327,0.10303001
27,0.568986603,0.002226962,1.34E-05,0.807573386,0.022271472,0.000161129,0.727702184,0.044515119,0.000299094,0.752955334,0.055606035,0.000310782,0.713165304,0.066821419,0.000525572,0.662808766,0.111663033,0.000889202,0.511865175,0.156501577,0.001248297,0.354666708,0.179187493,0.001316562,0.266975981,0.225587877,0.001585808,0.159827386
28,0.719685673,0.002228759,1.70E-05,0.833828797,0.022273212,0.000181901,0.808822723,0.044482439,0.000309004,0.652653084,0.055750976,0.000409718,0.701601925,0.066769816,0.000473193,0.712059988,0.111598996,0.000768756,0.517722996,0.156536375,0.000915948,0.324196377,0.17921545,0.00119965,0.275296972,0.224937884,0.001728633,0.124325058
29,0.910298178,0.002221278,1.67E-05,0.768430551,0.022207832,0.00014479,0.76982508,0.044444468,0.000313032,0.696297224,0.055448646,0.000397512,0.724305752,0.066657166,0.000515448,0.696838149,0.111353649,0.000715494,0.490462704,0.156226627,0.00106902,0.335818288,0.178719451,0.001313193,0.246167632,0.224739841,0.001594678,0.134110592
30,1.151395399,0.002224462,2.05E-05,0.74276335,0.02217435,0.000160067,0.770195532,0.044393159,0.000289208,0.738105294,0.05541976,0.000400973,0.66591925,0.066506834,0.000419574,0.655181681,0.111115991,0.000846148,0.485345459,0.155868111,0.001062736,0.350442163,0.178712681,0.001243499,0.296985512,0.224321532,0.001628443,0.172200795
31,1.456348478,0.002224385,2.59E-05,0.736496742,0.022096577,0.000190464,0.758538146,0.044226466,0.000381587,0.708161586,0.055362918,0.000309511,0.704205019,0.066538115,0.000428127,0.603631271,0.110968519,0.000772967,0.540109257,0.155630658,0.000987825,0.316238266,0.178098637,0.001155276,0.291497101,0.224085167,0.001486014,0.14116433
32,1.842069969,0.002219852,2.52E-05,0.722542548,0.022032078,0.000155349,0.800224004,0.044171627,0.000230031,0.753828985,0.055244237,0.000300841,0.681392312,0.066292576,0.000499527,0.644375792,0.110676462,0.000780978,0.453519316,0.155139615,0.00104624,0.382586653,0.177605231,0.000907297,0.269730472,0.222868824,0.001524041,0.128134845
33,2.329951811,0.002218815,2.13E-05,0.688565551,0.021971976,0.000131481,0.762971602,0.044007375,0.000304793,0.759030936,0.055110692,0.00037194,0.712936574,0.06588178,0.000406048,0.634812142,0.110033654,0.000798782,0.539627135,0.154532086,0.000933522,0.312985239,0.176897093,0.001285149,0.245439004,0.22215831,0.001441641,0.136341318
34,2.947051703,0.00221171,3.06E-05,0.605125589,0.021890662,0.000185691,0.764867228,0.043783587,0.000315138,0.699291317,0.05475216,0.000442554,0.659938092,0.065689071,0.000456863,0.698335325,0.109622773,0.000848226,0.54247537,0.153866622,0.001008399,0.324315166,0.176198376,0.001325245,0.257031937,0.221333177,0.001840066,0.14665987
35,3.72759372,0.002195458,3.35E-05,0.663904434,0.021703867,0.000156324,0.825110151,0.043569683,0.000304879,0.746282638,0.054358379,0.000425427,0.681418305,0.06537503,0.00047164,0.668422484,0.109141448,0.000683866,0.541977587,0.153004977,0.001024419,0.384454831,0.175149355,0.001286853,0.242179662,0.220059223,0.001549584,0.165706701
36,4.714866363,0.002188263,4.97E-05,0.620359856,0.021592362,0.000163238,0.740152095,0.043141711,0.000321509,0.740214622,0.054073908,0.00039787,0.681011707,0.06473625,0.000451083,0.724227562,0.10836696,0.000849171,0.493248837,0.15209587,0.001115719,0.352506425,0.173862519,0.000846962,0.317365745,0.218329325,0.001508158,0.194066818
37,5.963623317,0.002170743,4.02E-05,0.515924275,0.021390834,0.000135482,0.812324168,0.042765948,0.000269995,0.773319231,0.053513844,0.000347394,0.746336089,0.064180775,0.000402551,0.718248539,0.10723776,0.000655467,0.558999669,0.150585661,0.001071734,0.411544365,0.172577659,0.001168607,0.315354922,0.21641717,0.001361977,0.195906069
38,7.543120063,0.002160218,4.39E-05,0.515994126,0.021097607,0.000174374,0.7278443,0.042336645,0.000323021,0.725787134,0.052919089,0.000424648,0.766082414,0.063468678,0.000474949,0.733971893,0.106127689,0.000784525,0.543609741,0.149110244,0.000942782,0.466051647,0.17059428,0.001137715,0.32194373,0.214376232,0.00128366,0.199100972
39,9.540954763,0.002137179,9.01E-05,0.518993992,0.020832379,0.000162095,0.803200743,0.041693071,0.000368373,0.764221049,0.052127995,0.000304166,0.779840074,0.062579169,0.000461201,0.679106943,0.104693685,0.000778649,0.579420774,0.146921634,0.001155803,0.457913755,0.167948249,0.001207024,0.345639026,0.210818792,0.00141932,0.269980897
