,99.99999999999999,73.72028964018153,49.64992384996634,49.309172193849605,46.86442236798325,33.069903641800835,26.92615765120584,21.27464812773843,19.206699572449025,14.25261633579999,14.028344423366672,13.3020529682208,13.230335890690437,6.273983184319768,5.8975895418921995,4.669100206718426,3.5289133194026405,3.1807224495598376,3.0760639222082444,2.457258914700243,2.225089206872814,2.2166054460139826,1.8063786671884308,1.25180056996606,1.1210028875359033,1.0253121794705216,0.9908166473298063,0.8235617222900754,0.777448787892221,0.6485873391715875,0.3254910772745778,0.25604143132510226,0.25298422020480255,0.20890942655381478,0.17222289311021802,0.15973928103566085,0.15846544306886926,0.15082241526811999,0.14572706340095376,0.1399947925503918,0.13426252169982977,0.1250908883389306,0.11209774107765672,0.10955006514407363,0.10942268134739445,0.10929529755071529,0.09528307991600822,0.0807613270945845,0.07770411597428477,0.07744934838092646
ts 0 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 0 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 1 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8155887108877489,,,
ts 1 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.161619223671534e-05,,,
ts 2 slope,,,,,-1.9790341069509056,,,,,,,,-1.9450249663977224,,,,,-3.1766943778822743,-1.8029338866339992,,,,,,-1.2766544719339739,,,-1.9448358748724848,,,,,,,,,,,,-1.5729860944151253,-1.4078099558159454,,,,,,,,,
ts 2 std,,,,,5.09512623221759e-05,,,,,,,,9.596900917223575e-05,,,,,0.0002840797102646356,9.031906462992427e-05,,,,,,5.0755869305983044e-05,,,0.00011294245761416513,,,,,,,,,,,,0.00010584730784201416,0.00047169053904801654,,,,,,,,,
ts 3 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 3 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 4 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 4 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 5 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 5 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 6 slope,-2.0702030089984502,-1.1532595709829732,,,,,-1.738224706670437,,,,-1.81907137020219,,,,,-1.8170569621058263,,-1.3877437805255761,,-1.7213840044821267,,,-2.4512431485857142,,-2.244242442000919,,-3.667534551075543,-1.7180338641451471,,-2.6930352356206755,,,-2.231208369605495,,,-1.4512484991640626,-1.836761331026553,-1.7940173962243686,,,-1.228816811842781,,-2.273746670369225,-1.4583532565741801,,-1.8181740859725537,,,,
ts 6 std,0.00031109607847243565,8.52477004787332e-05,,,,,1.2420142081668143e-05,,,,0.00036587283676290435,,,,,5.4048411716128944e-05,,0.0001563364107139092,,1.0048300844888656e-05,,,0.00012595323625403976,,0.00015677059830716727,,0.00041020811256274587,0.00018806220339612112,,0.0003091202466010093,,,0.00026430458938403407,,,3.978855297960202e-05,8.816013073913471e-06,7.055486250661058e-05,,,3.4620722861018924e-05,,0.00010862501176119015,0.000512521072669992,,8.281911794634192e-05,,,,
ts 7 slope,,-2.0390721243494383,,-1.1669031891223025,,-0.8935982288198291,-1.3179715728844046,,-1.9717521809672829,,-2.0783512229468872,,,-1.8032552554842778,-1.6807322304325287,-0.6364096345711342,,,-1.455548702982374,,-2.2133183955401305,-1.713405437994387,,-2.6162351773844117,,,,,,,,-2.287537806111702,-2.4391484920726434,-0.609430667317238,,-1.5861546952781078,-1.6644634452025593,,-4.5066891493669825,,-1.736459845002835,,,,,,-4.419611933649156,-1.8289445343047435,,-2.46798429246169
ts 7 std,,0.00024216776994053987,,0.0003815146489797581,,0.0006843982404994855,0.00043597468052807936,,0.00036071531675773604,,0.00039286081660332194,,,8.442612016429963e-06,0.0003192574190710876,0.000614812557712141,,,0.00037640376600658394,,0.0004532342987505978,0.0005369558317954225,,0.0004035006278503641,,,,,,,,0.00044460948249145163,0.0007057578545532934,0.0006613867822495101,,0.0005280195165911156,0.0003833910742228015,,0.0003965952976385401,,9.383435084052673e-06,,,,,,0.0004983952229633969,7.26076204495442e-06,,0.00020523960779709612
ts 8 slope,,,,,,,,,,,,,,-0.6792020353733572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7574153157122285,,,,,,,
