time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
5.00000E-01,1.03797E+01,9.85419E+00,1.00459E+01,1.03517E+01,9.89416E+00,1.02120E+01,1.02251E+01,1.00162E+01,9.89517E+00,9.38108E+00,9.72603E+00,1.01773E+01,9.90519E+00,1.01362E+01,9.48105E+00,9.74810E+00,1.00585E+01,1.01045E+01,9.86119E+00,1.02186E+01,9.57484E+00,9.98450E+00,1.02527E+01,9.95221E+00,1.00134E+01,1.02628E+01,9.94813E+00,9.94579E+00,9.86981E+00,9.66028E+00,1.03312E+01,1.01734E+01,9.76115E+00,1.01026E+01,9.90301E+00,1.01922E+01,1.03428E+01,9.84699E+00,9.84944E+00,9.88868E+00,9.72442E+00,1.00281E+01,1.01857E+01,1.03562E+01,9.69542E+00,9.96550E+00,9.75910E+00,1.03170E+01,9.59505E+00,1.04132E+01
5.50000E-01,1.03957E+01,9.85550E+00,9.95999E+00,1.01537E+01,9.90331E+00,1.00481E+01,1.00221E+01,9.69823E+00,9.77574E+00,9.84156E+00,9.60742E+00,1.05502E+01,1.02850E+01,1.03144E+01,9.40329E+00,9.55146E+00,9.98198E+00,9.98988E+00,9.85755E+00,9.81646E+00,9.99589E+00,1.00797E+01,9.85306E+00,9.61491E+00,1.00339E+01,1.01401E+01,1.00761E+01,9.74529E+00,1.00821E+01,9.63533E+00,1.00289E+01,9.79995E+00,9.77647E+00,1.00027E+01,9.61269E+00,1.01588E+01,1.00963E+01,9.91519E+00,9.84167E+00,9.80302E+00,9.94511E+00,1.03152E+01,1.00556E+01,1.03068E+01,9.91125E+00,1.04287E+01,1.00407E+01,1.00939E+01,9.93044E+00,9.99091E+00
6.00000E-01,1.01247E+01,9.57079E+00,1.00843E+01,1.00796E+01,1.00714E+01,9.92769E+00,9.98933E+00,9.52801E+00,9.63793E+00,1.03919E+01,9.46470E+00,1.03360E+01,9.87501E+00,1.03605E+01,9.67347E+00,9.50470E+00,1.01865E+01,9.92526E+00,9.75705E+00,1.01620E+01,1.00768E+01,9.98626E+00,1.01735E+01,9.48713E+00,1.03003E+01,1.02151E+01,9.95744E+00,9.81442E+00,9.95602E+00,9.40753E+00,1.01494E+01,9.92350E+00,9.80354E+00,9.57907E+00,9.66338E+00,1.00843E+01,1.01548E+01,1.02748E+01,9.77446E+00,9.76878E+00,1.00957E+01,1.01456E+01,9.90251E+00,9.94864E+00,1.00435E+01,1.04303E+01,9.82775E+00,1.00459E+01,1.00438E+01,9.95640E+00
6.50000E-01,9.89595E+00,9.42838E+00,9.85359E+00,1.00953E+01,1.02427E+01,9.85198E+00,1.01057E+01,9.62823E+00,9.56531E+00,1.03369E+01,9.85613E+00,1.00969E+01,9.82127E+00,1.01781E+01,9.69691E+00,9.52220E+00,1.00836E+01,1.01000E+01,9.95630E+00,1.01279E+01,1.02088E+01,1.01982E+01,9.78262E+00,9.65140E+00,1.00574E+01,1.00826E+01,9.80578E+00,1.00780E+01,1.01293E+01,9.71953E+00,9.90053E+00,1.02384E+01,9.94056E+00,9.59201E+00,9.87089E+00,9.89985E+00,1.05996E+01,1.01382E+01,9.90780E+00,9.91665E+00,1.01640E+01,1.00150E+01,9.71815E+00,1.02129E+01,1.00280E+01,1.03869E+01,9.76916E+00,1.02430E+01,1.03575E+01,9.92833E+00
7.00000E-01,9.64042E+00,9.75246E+00,1.00874E+01,1.05336E+01,1.01955E+01,1.01114E+01,1.00042E+01,9.93276E+00,9.77913E+00,1.05587E+01,9.83109E+00,1.01082E+01,1.01436E+01,9.69536E+00,9.68997E+00,9.90112E+00,1.00574E+01,9.60530E+00,9.77795E+00,1.00092E+01,1.00781E+01,9.90578E+00,9.90056E+00,9.17331E+00,9.79894E+00,1.00286E+01,1.02946E+01,1.03673E+01,9.94999E+00,9.90773E+00,1.00962E+01,9.93289E+00,9.91328E+00,9.88466E+00,9.84780E+00,9.80719E+00,1.04154E+01,1.01237E+01,9.94410E+00,1.00677E+01,9.91904E+00,1.00036E+01,9.91373E+00,1.00173E+01,1.02028E+01,1.03453E+01,9.70722E+00,1.02083E+01,1.04569E+01,9.75832E+00
7.50000E-01,9.87317E+00,9.86814E+00,9.94787E+00,1.04768E+01,1.02545E+01,1.03285E+01,1.02210E+01,9.69456E+00,9.99614E+00,1.04525E+01,9.53440E+00,9.96793E+00,1.00287E+01,9.63866E+00,1.00248E+01,9.47257E+00,9.89953E+00,9.67527E+00,9.83994E+00,9.91239E+00,1.02499E+01,1.00835E+01,9.57861E+00,9.50437E+00,9.79302E+00,9.95352E+00,9.92294E+00,1.02736E+01,9.96383E+00,9.80266E+00,1.00712E+01,1.00736E+01,9.94672E+00,9.82914E+00,1.00901E+01,9.71080E+00,1.01426E+01,1.00153E+01,1.01637E+01,1.02265E+01,1.01354E+01,9.95329E+00,1.01995E+01,9.69501E+00,1.04459E+01,9.98330E+00,9.67097E+00,1.02299E+01,1.05077E+01,9.87948E+00
8.00000E-01,9.93834E+00,1.00250E+01,9.93786E+00,1.01364E+01,1.03323E+01,1.02152E+01,1.01412E+01,9.58152E+00,1.00575E+01,1.00045E+01,9.56055E+00,9.76502E+00,9.92308E+00,9.80803E+00,1.02104E+01,9.37540E+00,9.89434E+00,9.78039E+00,1.00098E+01,1.00846E+01,1.01997E+01,1.02172E+01,9.76665E+00,9.59272E+00,1.01130E+01,1.01172E+01,1.01199E+01,1.02162E+01,1.02936E+01,9.81505E+00,1.00637E+01,1.00825E+01,9.86050E+00,1.02273E+01,9.85050E+00,9.82530E+00,1.02622E+01,9.82010E+00,9.96644E+00,1.01481E+01,9.90116E+00,9.75738E+00,1.00817E+01,9.64671E+00,1.04789E+01,9.81169E+00,9.75287E+00,9.82725E+00,1.06291E+01,9.79483E+00
8.50000E-01,1.02302E+01,9.84089E+00,9.79755E+00,9.96890E+00,1.01351E+01,1.03156E+01,1.02374E+01,9.70280E+00,1.01871E+01,1.01368E+01,9.83689E+00,9.97019E+00,1.00051E+01,9.67944E+00,1.02182E+01,9.45015E+00,1.00479E+01,9.67983E+00,9.64862E+00,9.85042E+00,1.00164E+01,1.04051E+01,9.80890E+00,9.86391E+00,1.01309E+01,9.91813E+00,1.01470E+01,1.02430E+01,1.00024E+01,9.85754E+00,1.01128E+01,1.01481E+01,9.88989E+00,1.01908E+01,9.83544E+00,1.01395E+01,1.03656E+01,1.01584E+01,1.00329E+01,1.00232E+01,1.03573E+01,9.86258E+00,1.02246E+01,9.96417E+00,1.00667E+01,1.00506E+01,9.84024E+00,9.91401E+00,1.06223E+01,1.00828E+01
9.00000E-01,1.02297E+01,9.93256E+00,1.00092E+01,9.82158E+00,9.99687E+00,1.01314E+01,9.87969E+00,9.96898E+00,1.05508E+01,1.01447E+01,1.00190E+01,9.82744E+00,9.58192E+00,9.90348E+00,1.03110E+01,9.71630E+00,9.87337E+00,9.76834E+00,9.69661E+00,9.91625E+00,1.02212E+01,1.05353E+01,1.00978E+01,9.75116E+00,1.01750E+01,9.55904E+00,9.94748E+00,9.97582E+00,1.00810E+01,1.00107E+01,1.01142E+01,1.01162E+01,1.01175E+01,1.00900E+01,9.81825E+00,1.03502E+01,1.01865E+01,9.95106E+00,1.01319E+01,1.01417E+01,1.02309E+01,1.03679E+01,1.02064E+01,9.54632E+00,1.00158E+01,9.76155E+00,1.00029E+01,9.94990E+00,1.02983E+01,1.01204E+01
9.50000E-01,1.02721E+01,9.87187E+00,1.01732E+01,1.01152E+01,1.02209E+01,9.97423E+00,1.00391E+01,9.89211E+00,1.08141E+01,9.99137E+00,9.55221E+00,9.97012E+00,9.61554E+00,1.00780E+01,1.02092E+01,9.66346E+00,9.72952E+00,1.00525E+01,9.55031E+00,9.71854E+00,9.87749E+00,1.04447E+01,1.01316E+01,9.93943E+00,1.01514E+01,9.54864E+00,1.05486E+01,1.01141E+01,1.01486E+01,1.00209E+01,9.93345E+00,9.91462E+00,1.00767E+01,1.01948E+01,9.84953E+00,1.01860E+01,9.90651E+00,9.81372E+00,1.00689E+01,1.01285E+01,1.01994E+01,9.86744E+00,9.82198E+00,9.88772E+00,9.78280E+00,9.97028E+00,9.99483E+00,9.86024E+00,1.00719E+01,1.01194E+01
