,1.000E-03,1.778E-02,3.162E-01,5.623E+00,1.000E+02
means,,,0.31254317194000003,5.6167482508,99.992371912
stds,,,0.0454781342012543,0.19895922974196575,1.0216978037057063
KL,,,24.102319168943303,5.921228128413521,5.201582020659423
mean_color,,,-1.7404588882095169,-1.1329807270398287,0.016932526763630548
std_color,,,0.07732619692807943,0.0821556094334826,0.06063838056498856
