,1.000E-03,3.594E-03,1.292E-02,4.642E-02,1.668E-01,5.995E-01,2.154E+00,7.743E+00,2.783E+01,1.000E+02
means,,,,,,0.5898904017400004,2.146050596082,7.746723583159998,27.8204036454,
stds,,,,,,0.09713360719826857,0.19210343806357139,0.6545791862951036,2.7252927043498536,
KL,,,,,,35.659901297635926,29.698751577609475,53.46502257453774,87.82174873165411,
mean_color,,,,,,-1.838097654106981,-1.8887503383174267,-2.0626724693535996,-1.9935475956703093,
std_color,,,,,,0.04702827168088902,0.12741133093213142,0.31089702258999136,0.32242639996826666,
