time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50
1.50000E+01,9.95464E+01,4.18433E+01,3.14350E+01,2.92864E+01,2.02758E+01,1.53778E+01,1.04744E+01,6.08898E+00,4.57783E+00,4.19931E+00,3.70337E+00,3.97957E+00,3.61382E+00,2.48365E+00,2.41153E+00,1.93484E+00,1.20725E+00,8.71600E-01,3.16588E-01,4.68636E-01,3.02431E-01,3.57347E-01,2.26582E-01,1.38274E-01,1.19448E-01,1.48253E-01,1.01300E-01,9.51672E-02,6.27899E-02,1.13631E-01,1.26681E-01,1.25273E-01,1.14092E-01,8.02652E-02,2.46665E-02,2.30940E-02,1.94299E-02,7.44893E-02,1.83252E-02,4.02774E-02,1.90802E-02,4.82705E-02,1.05899E-01,2.44984E-02,7.83074E-02,8.62789E-02,4.86789E-03,2.14157E-02,3.63532E-02,2.71058E-02
1.65000E+01,1.03458E+02,4.28656E+01,3.05665E+01,2.68018E+01,2.12006E+01,1.52268E+01,1.02118E+01,4.98713E+00,4.69948E+00,5.31756E+00,3.97570E+00,4.34896E+00,3.96874E+00,2.77389E+00,2.85969E+00,1.79563E+00,1.39487E+00,9.36214E-01,3.41145E-01,5.01673E-01,3.18085E-01,3.98812E-01,2.71243E-01,2.23648E-01,1.56618E-01,2.28405E-01,1.30340E-01,1.25137E-01,6.98658E-02,7.74290E-02,1.44445E-01,1.00674E-01,9.47606E-02,5.36935E-02,1.68077E-02,3.12920E-02,2.60751E-02,9.50719E-02,1.13900E-02,5.07898E-02,1.98883E-02,5.88121E-02,1.18045E-01,2.08176E-02,7.72753E-02,3.11937E-02,4.22539E-03,2.04353E-02,3.28215E-02,2.39892E-02
1.80000E+01,9.92272E+01,4.37078E+01,3.13389E+01,2.73007E+01,1.97186E+01,1.55235E+01,1.12168E+01,5.27078E+00,4.38059E+00,4.32213E+00,4.51135E+00,3.90698E+00,4.02319E+00,3.21463E+00,3.23792E+00,1.82249E+00,1.06666E+00,1.07561E+00,4.66425E-01,6.38781E-01,4.79918E-01,3.61188E-01,2.50637E-01,2.58693E-01,1.79566E-01,2.71536E-01,1.26209E-01,1.31435E-01,9.21737E-02,1.05723E-01,1.90881E-01,7.61706E-02,1.72706E-01,7.07495E-02,1.32821E-02,2.91759E-02,2.66115E-02,7.25749E-02,8.52954E-03,6.09588E-02,2.26624E-02,4.66364E-02,9.64178E-02,1.74901E-02,1.07717E-01,3.11417E-02,4.02935E-03,1.98348E-02,4.47993E-02,3.67498E-02
1.95000E+01,1.03478E+02,4.14560E+01,3.11188E+01,2.64177E+01,2.09009E+01,1.54837E+01,1.10634E+01,4.86735E+00,4.80639E+00,4.44733E+00,3.99547E+00,4.09382E+00,3.86395E+00,3.16684E+00,2.51426E+00,1.93864E+00,1.00118E+00,8.72192E-01,4.16696E-01,5.42928E-01,4.66995E-01,4.26896E-01,3.89255E-01,2.83531E-01,2.55742E-01,2.59011E-01,1.15188E-01,1.65035E-01,9.59477E-02,1.70237E-01,1.60176E-01,5.34128E-02,1.34060E-01,5.32999E-02,9.09454E-03,2.95602E-02,2.59840E-02,7.12954E-02,1.07639E-02,4.27256E-02,1.72278E-02,6.08604E-02,1.13523E-01,1.60942E-02,1.36838E-01,2.84155E-02,3.53114E-03,2.10577E-02,4.53342E-02,2.87328E-02
2.10000E+01,1.01763E+02,4.16790E+01,3.26911E+01,2.64252E+01,2.13195E+01,1.63607E+01,1.05504E+01,5.40045E+00,4.93478E+00,4.24800E+00,4.47495E+00,4.14449E+00,4.31935E+00,2.82409E+00,2.43865E+00,1.77198E+00,1.15066E+00,8.33913E-01,3.23406E-01,4.24982E-01,4.05218E-01,4.37341E-01,3.00505E-01,2.00664E-01,2.61309E-01,2.08196E-01,1.88251E-01,1.98136E-01,8.86692E-02,1.89272E-01,1.81326E-01,6.43609E-02,1.00492E-01,5.77282E-02,8.11620E-03,2.37499E-02,2.40896E-02,6.92902E-02,9.34966E-03,6.84805E-02,2.61294E-02,4.45196E-02,1.07399E-01,1.39691E-02,1.08074E-01,2.98018E-02,2.98580E-03,2.18975E-02,5.87073E-02,2.45338E-02
2.25000E+01,9.97718E+01,4.16061E+01,3.11357E+01,2.73808E+01,2.02115E+01,1.68365E+01,1.11261E+01,6.12950E+00,4.90525E+00,5.37283E+00,4.16372E+00,3.83646E+00,3.76558E+00,3.09400E+00,2.13082E+00,2.15502E+00,1.16442E+00,7.54482E-01,4.66406E-01,4.76695E-01,6.01070E-01,4.28195E-01,3.03965E-01,3.22190E-01,2.34986E-01,1.37106E-01,2.30031E-01,1.10573E-01,6.76442E-02,1.80105E-01,1.71569E-01,1.02904E-01,9.49092E-02,3.86423E-02,9.17180E-03,2.84941E-02,2.89647E-02,7.67812E-02,7.33048E-03,5.98106E-02,3.20891E-02,3.62300E-02,1.08068E-01,1.10616E-02,1.03905E-01,2.18010E-02,3.78962E-03,2.10112E-02,6.48688E-02,3.27187E-02
2.40000E+01,1.05527E+02,4.11778E+01,3.18170E+01,2.79771E+01,1.96608E+01,1.68989E+01,1.06104E+01,5.63493E+00,4.70957E+00,4.62877E+00,3.88763E+00,3.79589E+00,3.51379E+00,2.74641E+00,2.42356E+00,1.59149E+00,1.04909E+00,7.93330E-01,4.51186E-01,3.88342E-01,4.69425E-01,3.91988E-01,1.89519E-01,2.86469E-01,1.80259E-01,1.15214E-01,2.56551E-01,8.25824E-02,6.77933E-02,1.85135E-01,1.30470E-01,9.81127E-02,4.94800E-02,3.02023E-02,1.33106E-02,2.03071E-02,3.59565E-02,5.35140E-02,9.09799E-03,8.61559E-02,4.98522E-02,3.05432E-02,7.95996E-02,9.16939E-03,1.02242E-01,2.46226E-02,6.40341E-03,1.35236E-02,6.88952E-02,2.69494E-02
2.55000E+01,1.00422E+02,4.30064E+01,3.18587E+01,2.69401E+01,1.98464E+01,1.57890E+01,1.11040E+01,5.70213E+00,4.82348E+00,5.32261E+00,4.53156E+00,3.71983E+00,3.80797E+00,2.57963E+00,2.26563E+00,1.72952E+00,1.30646E+00,8.04908E-01,4.82147E-01,4.36252E-01,3.57934E-01,2.26306E-01,1.39132E-01,2.25453E-01,1.49525E-01,1.26754E-01,2.57589E-01,6.73265E-02,1.05226E-01,1.29609E-01,1.59591E-01,7.67102E-02,5.22416E-02,2.77183E-02,1.42958E-02,2.04446E-02,3.81386E-02,7.13933E-02,6.33415E-03,6.29473E-02,7.71321E-02,2.39661E-02,7.19255E-02,7.90458E-03,1.34726E-01,2.33604E-02,4.36273E-03,1.32630E-02,7.69995E-02,3.26480E-02
2.70000E+01,9.70713E+01,4.31659E+01,3.10620E+01,2.68325E+01,1.95521E+01,1.62504E+01,1.00256E+01,5.92188E+00,4.72495E+00,5.07488E+00,4.25179E+00,3.90332E+00,3.82226E+00,2.97491E+00,2.28776E+00,1.81453E+00,8.70262E-01,9.69664E-01,4.05383E-01,4.24478E-01,3.93675E-01,2.23928E-01,2.43605E-01,2.78813E-01,2.36704E-01,6.93316E-02,2.28827E-01,5.04071E-02,1.50822E-01,1.06033E-01,1.12698E-01,9.90730E-02,4.14485E-02,1.87494E-02,1.53184E-02,1.47811E-02,3.31837E-02,5.67042E-02,7.24631E-03,6.55197E-02,1.04824E-01,2.36116E-02,5.24840E-02,1.44924E-02,1.62191E-01,2.12748E-02,2.70172E-03,9.37197E-03,9.33622E-02,1.97435E-02
2.85000E+01,9.98804E+01,4.47847E+01,3.03741E+01,2.76358E+01,2.19354E+01,1.65968E+01,1.01187E+01,5.60825E+00,5.26898E+00,4.81132E+00,4.12709E+00,3.85313E+00,3.64327E+00,3.16589E+00,2.42063E+00,1.94070E+00,9.95362E-01,9.20016E-01,4.05891E-01,4.61791E-01,3.53098E-01,2.82431E-01,2.58523E-01,2.19905E-01,2.54194E-01,8.61579E-02,1.08706E-01,4.83842E-02,1.39145E-01,6.84657E-02,8.80750E-02,1.00515E-01,4.43862E-02,2.16350E-02,1.13859E-02,1.81913E-02,2.97780E-02,6.11146E-02,6.71892E-03,8.53587E-02,1.06445E-01,2.71859E-02,7.07789E-02,1.58030E-02,2.58229E-01,2.75927E-02,3.29586E-03,1.00116E-02,6.31287E-02,1.48154E-02
3.00000E+01,1.00532E+02,4.22511E+01,2.97576E+01,2.83006E+01,2.04986E+01,1.54180E+01,1.01461E+01,5.61277E+00,4.49107E+00,4.27914E+00,3.98761E+00,3.41224E+00,3.78489E+00,2.98690E+00,1.84813E+00,1.82294E+00,9.95061E-01,9.87088E-01,3.64992E-01,5.28840E-01,4.12747E-01,3.50121E-01,3.21500E-01,1.51354E-01,3.22125E-01,7.22616E-02,1.09811E-01,4.72404E-02,1.69275E-01,7.56090E-02,5.00101E-02,9.43918E-02,3.91785E-02,1.76710E-02,1.08871E-02,1.79658E-02,3.54289E-02,6.75989E-02,7.52667E-03,9.01264E-02,6.90357E-02,2.11797E-02,6.26151E-02,1.90351E-02,1.95743E-01,2.61548E-02,2.75163E-03,1.31017E-02,4.59989E-02,1.10007E-02
3.15000E+01,9.98666E+01,4.28528E+01,3.11199E+01,2.69140E+01,1.90517E+01,1.48730E+01,1.08516E+01,5.73571E+00,4.86927E+00,4.87806E+00,4.09301E+00,4.08235E+00,3.54663E+00,2.78450E+00,2.32991E+00,1.88119E+00,1.06846E+00,1.03959E+00,4.21976E-01,6.24829E-01,4.17712E-01,5.20454E-01,3.10127E-01,1.65169E-01,2.60741E-01,7.30602E-02,1.01279E-01,4.26090E-02,1.57501E-01,8.50809E-02,5.46631E-02,1.42706E-01,4.28413E-02,1.35127E-02,7.22538E-03,1.28039E-02,2.14798E-02,6.91518E-02,7.46470E-03,7.49957E-02,1.19640E-01,1.52766E-02,9.10534E-02,3.67161E-02,2.13031E-01,1.50779E-02,1.49743E-03,2.22792E-02,2.87489E-02,9.38896E-03
3.30000E+01,9.79676E+01,4.18670E+01,3.04848E+01,2.61926E+01,2.04344E+01,1.68446E+01,1.07346E+01,5.78677E+00,5.22148E+00,4.34222E+00,4.36986E+00,3.19807E+00,3.83259E+00,2.71157E+00,2.24907E+00,2.02657E+00,1.21079E+00,1.05719E+00,4.74334E-01,5.84609E-01,4.34904E-01,3.81886E-01,3.66993E-01,1.37073E-01,3.64185E-01,1.05611E-01,9.74117E-02,3.38047E-02,1.84646E-01,7.12215E-02,4.70446E-02,1.64004E-01,3.67204E-02,1.78854E-02,7.69795E-03,1.25002E-02,2.32401E-02,8.87212E-02,9.00713E-03,1.05886E-01,7.81261E-02,1.82727E-02,1.23395E-01,4.45463E-02,2.09687E-01,1.72454E-02,1.51137E-03,1.79554E-02,3.19041E-02,7.30794E-03
