,0.01,0.2,0.4,0.6000000000000001,0.8,1.0
0.0,-0.03673735736426746,-0.09671720905279631,-0.04282824644449466,-0.016643020130455047,-0.02329491938343429,-0.024154134286231616
0.03,-0.07628081397142578,-0.009223713559611317,-0.04649913376300141,-0.03154727162239315,-0.05728189577725664,-0.07651199825607863
0.06,-0.02125092337475999,-0.06813938072061411,-0.07973391604679651,-0.012588146939529372,-0.049014756071729566,-0.07237049662928427
0.09,-0.06541258489029717,-0.08979620331591902,-0.022255037461971806,-0.08361656339237473,-0.14242974679433798,-0.06042593392613347
0.12,-0.020795991974135,-0.06439889255297737,-0.07207371295108443,-0.06146689744143783,-0.03224384324560846,-0.11713946691711744
0.15,0.02957496162534323,-0.10914019961426033,-0.07252493083026779,-0.16975680729203724,-0.20943588313782718,-0.0675737306684501
0.18,0.38426367966961633,0.2990806055146538,0.13896861168422053,-0.46220793415827394,-0.3015032317457262,-0.4969424858576763
0.21,,-0.2202821890550644,-0.9038038812727902,,-1.2992614083193683,
