1745	2252	1568	3023	3056	2145	2626	2673	4264.473	1872.164	3798	2538	4771	2177	1411	1893	10	184.8192	1310.864	3270	1249	1930	1781.431	0	1138.829	180.0676
876	497	550	655	1022	644	813	889	927.0122	1087.215	605.8828	805	842	642	441	781	2571	971.5	675.6722	733	665	1002	786.8372	447	1014.218	240.984
356	695	577	445	285	530	466	613	272.1324	227.5371	329	328	253	418	470	641	1808	1295	2514.963	257	2198	1931	1139.904	156	2445.796	273.6174
247	187	336	148	429	771	515	301	320.3112	303.2889	602.5	311	473	268	125	192	930	436	832.6418	1062	1042	555	361.0218	132	313.1773	124.8425
416	740	1150	922	471	743	485	775	378.6799	433.7322	637.5022	323	134	793	287	545	0	0	0	0	0	0	0	1392	1.188649	0
368	201	214	284	500	601	501	406	265.6258	569.0049	261.5	455	245	91	180	64	11	86	185	327	383	76	410.2013	0	549.0046	729.4164
233	112	157	104	237	190	73	288	249.4611	335.3957	174	380	141	57	197	184	210	210.5	393.287	504	308	236	594.232	31	623.5819	687.2318
402	220	227	142	500	376	244	289	646.6858	791.1871	227.4168	438	182	219	264	236	0	0	0	0	0	0	0	9	0	0
55	94	57	43	47	57	32	45	51.3185	80.07477	69	51	95	34	79	77	278	304.5	692.4005	602	344	792	352.5358	5	188.4916	31.15425
679	90	42	337	383	18	1223	226	498.3074	467.1008	20.30243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	206	131	248	165	68	154	147	267.965	120.8548	205.5	99	392	129	91	184	3	23.87858	106.5618	155	75	275	156.5022	73	101.4223	11.65797
28	26	27	14	1	10	0	7	6.503871	9.593561	9	8	4	20	41	4	556	898.8352	338.383	144	408	379	205.6967	33	95.95927	165.8379
24	45	53	10	3	0	4	5	0.4686326	3.126316	82	13	3	39	78	34	126	1376	65.97214	62	312	69	174.4104	447	128.2655	905.1469
115	358	612	207	89	430	81	83	12.45075	112.5019	69	267	68	376	412	463	0	0	0	0	0	0	0	0	0	0
168	80	101	96	186	223	160	151	91.98062	210.9843	84	162	120	39	35	23	8	28.5	60.15965	114	141	37	131.036	81	202.4009	273.4229
0	0	0	0	0	0	0	0	0	0	0	310	60	544	612	482	0	0	0	0	0	0	0	0	0	0
224	41	52	29	153	68	133	142	291.1725	291.7504	38.97298	128	139	48	58	77	0	63	60.65111	96	33	33	79.43635	0	132.2045	168.1368
157	56	51	24	209	122	225	94	50.33314	174.3544	62.9848	112	30	78	21	63	98	51.5	134.9935	255	131	53	118.1285	0	120.1965	189.4106
29	49	33	44	69	54	43	42	55.82795	71.83136	51.5	24	68	27	32	77	397	133.5	169.7506	168	124	304	142.3957	121	103.6753	26.07522
97	81	117	33	13	55	11	24	11.91392	17.71024	42	16	7	78	141	48	91	0	40.79972	14	115	110	429.8846	267	66.59411	606.4603
352	172	177	60	130	96	86	57	28.96051	141.1781	98	196	13	75	158	144	0	0	0	0	0	0	0	0	0	0
46	81	63	130	116	70	91	71	67.9563	111.0805	53	57	94	23	38	27	10	30.5	47.77538	84	76	36	99.34501	1	134.0468	129.1912
3	0	2	0	1	2	1	2	0	0	1.708333	1	0	1	1	0	294	60	195.1969	153	149	79	286.8727	3	84.15092	176.8096
