,genus,phylum,my_phylum,phyla equal
3441,Acholeplasma,Tenericutes,Firmicutes,False
3827,Chloroherpeton,Chlorobi,Chlorobi ,False
4636,Chlorobium,Chlorobi,Chlorobi ,False
4656,Cytophaga,Bacteroidetes,Proteobacteria,False
4661,Dictyoglomus,Dictyoglomi,Firmicutes,False
4732,Chlorobaculum,Chlorobi,Chlorobi ,False
4749,Coprothermobacter,Firmicutes,Coprothermobacterota,False
