time,species_1,species_2,species_3,species_4
1.99500E+01,7.48014E-03,1.77886E+00,1.52530E+01,1.00049E+02
2.00000E+01,7.62462E-03,1.89226E+00,1.49979E+01,9.93356E+01
2.00500E+01,7.45442E-03,1.91003E+00,1.54290E+01,9.98591E+01
2.01000E+01,7.64559E-03,1.89365E+00,1.50147E+01,9.96190E+01
2.01500E+01,7.69433E-03,1.93372E+00,1.49154E+01,1.00178E+02
2.02000E+01,7.62863E-03,1.90775E+00,1.45682E+01,9.79988E+01
2.02500E+01,7.31829E-03,1.91895E+00,1.49148E+01,9.96516E+01
2.03000E+01,7.20235E-03,1.89776E+00,1.49352E+01,1.00352E+02
2.03500E+01,7.14215E-03,1.87767E+00,1.47948E+01,9.96768E+01
2.04000E+01,6.96215E-03,1.87496E+00,1.50948E+01,1.01592E+02
2.04500E+01,6.73960E-03,1.89286E+00,1.50146E+01,9.98876E+01
2.05000E+01,6.73134E-03,1.99384E+00,1.48365E+01,9.94465E+01
2.05500E+01,6.63368E-03,1.93913E+00,1.49334E+01,9.79855E+01
2.06000E+01,6.81725E-03,2.04654E+00,1.49825E+01,9.93941E+01
2.06500E+01,6.81695E-03,2.02139E+00,1.52426E+01,1.00150E+02
2.07000E+01,7.08163E-03,2.05504E+00,1.51175E+01,9.96572E+01
2.07500E+01,7.14646E-03,2.07869E+00,1.45969E+01,1.00776E+02
2.08000E+01,6.76306E-03,2.11623E+00,1.47587E+01,9.96733E+01
2.08500E+01,6.87846E-03,2.05705E+00,1.51287E+01,9.98109E+01
2.09000E+01,6.72635E-03,2.06407E+00,1.43168E+01,9.98832E+01
2.09500E+01,6.84498E-03,2.02028E+00,1.48070E+01,9.90512E+01
2.10000E+01,7.04491E-03,2.00471E+00,1.53471E+01,9.82945E+01
2.10500E+01,6.82604E-03,2.06962E+00,1.53598E+01,1.00072E+02
2.11000E+01,6.89645E-03,2.03488E+00,1.54684E+01,1.00045E+02
2.11500E+01,6.98286E-03,2.03326E+00,1.52877E+01,1.01254E+02
2.12000E+01,6.88848E-03,2.10155E+00,1.54719E+01,9.98326E+01
2.12500E+01,6.86074E-03,2.05881E+00,1.49147E+01,1.00329E+02
2.13000E+01,6.83073E-03,2.05072E+00,1.47324E+01,1.01331E+02
2.13500E+01,7.10625E-03,2.06982E+00,1.46006E+01,1.01696E+02
2.14000E+01,7.30627E-03,2.02294E+00,1.52409E+01,1.00413E+02
2.14500E+01,7.24147E-03,2.01191E+00,1.52236E+01,9.88067E+01
2.15000E+01,7.25225E-03,1.99068E+00,1.50755E+01,9.97789E+01
2.15500E+01,7.62610E-03,1.92879E+00,1.47449E+01,1.00278E+02
2.16000E+01,7.77216E-03,1.94617E+00,1.49437E+01,9.89806E+01
2.16500E+01,7.77152E-03,1.86414E+00,1.49102E+01,1.02163E+02
2.17000E+01,7.62636E-03,1.86831E+00,1.48455E+01,1.00749E+02
2.17500E+01,7.82418E-03,1.83699E+00,1.50761E+01,1.00156E+02
2.18000E+01,7.90626E-03,1.88952E+00,1.50447E+01,1.01039E+02
2.18500E+01,8.09395E-03,1.91779E+00,1.47547E+01,1.01260E+02
2.19000E+01,7.80842E-03,1.92384E+00,1.49542E+01,9.91547E+01
2.19500E+01,7.99798E-03,1.97187E+00,1.53701E+01,1.01722E+02
2.20000E+01,7.83654E-03,2.02897E+00,1.50062E+01,9.86125E+01
2.20500E+01,7.85760E-03,2.03795E+00,1.45840E+01,9.82167E+01
2.21000E+01,7.96114E-03,2.01257E+00,1.50601E+01,9.91390E+01
2.21500E+01,7.89189E-03,2.04095E+00,1.53498E+01,1.00083E+02
2.22000E+01,7.72768E-03,2.06251E+00,1.50846E+01,9.91408E+01
2.22500E+01,7.85223E-03,2.04817E+00,1.49076E+01,1.01431E+02
2.23000E+01,8.00581E-03,2.00900E+00,1.53188E+01,9.83549E+01
2.23500E+01,7.93944E-03,2.01046E+00,1.50781E+01,1.00289E+02
2.24000E+01,7.97016E-03,1.96892E+00,1.51254E+01,1.00115E+02
2.24500E+01,8.13037E-03,1.95250E+00,1.51332E+01,1.01427E+02
2.25000E+01,8.21356E-03,1.95987E+00,1.53997E+01,1.00084E+02
2.25500E+01,7.87142E-03,1.95152E+00,1.54507E+01,1.01390E+02
2.26000E+01,8.06679E-03,1.91575E+00,1.44051E+01,1.01301E+02
2.26500E+01,7.95968E-03,1.91561E+00,1.43687E+01,9.82012E+01
2.27000E+01,8.15200E-03,1.88212E+00,1.44054E+01,1.00016E+02
2.27500E+01,7.95291E-03,1.91101E+00,1.47564E+01,9.82691E+01
2.28000E+01,8.07616E-03,1.88335E+00,1.47383E+01,1.00293E+02
2.28500E+01,8.19907E-03,1.87459E+00,1.45023E+01,1.01639E+02
2.29000E+01,8.26262E-03,1.88851E+00,1.45593E+01,1.00212E+02
2.29500E+01,8.38222E-03,1.93666E+00,1.45873E+01,1.00395E+02
2.30000E+01,8.29349E-03,1.91902E+00,1.48670E+01,1.00084E+02
2.30500E+01,8.16018E-03,1.96560E+00,1.42862E+01,9.94671E+01
2.31000E+01,8.05872E-03,1.98029E+00,1.48241E+01,9.99399E+01
2.31500E+01,8.32895E-03,1.97812E+00,1.43368E+01,1.00990E+02
