steady state,ts 2 slope,ts 2 std,ts 7 slope,ts 7 std,ts 3 slope,ts 3 std,ts 1 slope,ts 1 std,ts 0 slope,ts 0 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 14 slope,ts 14 std,ts 13 slope,ts 13 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std
6.362E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.581E+00,7.843E-02,-1.422E+00,7.652E-02,-1.422E+00,7.652E-02,-1.627E+00,8.691E-02,-1.627E+00,8.691E-02,-1.524E+00,7.916E-02,-1.555E+00,7.833E-02,-1.555E+00,7.833E-02,-1.555E+00,7.833E-02,-1.466E+00,8.498E-02,-1.466E+00,8.498E-02,-1.466E+00,8.081E-02,-1.478E+00,8.229E-02
6.511E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.597E+00,8.377E-02,-1.515E+00,8.431E-02,-1.515E+00,8.431E-02,-1.422E+00,7.935E-02,-1.422E+00,7.935E-02,-1.419E+00,7.710E-02,-1.534E+00,8.778E-02,-1.534E+00,8.778E-02,-1.534E+00,8.778E-02,-1.521E+00,8.380E-02,-1.521E+00,8.380E-02,-1.521E+00,7.635E-02,-1.523E+00,8.266E-02
6.663E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.445E+00,7.303E-02,-1.498E+00,9.183E-02,-1.498E+00,9.183E-02,-1.500E+00,7.418E-02,-1.500E+00,7.418E-02,-1.513E+00,7.843E-02,-1.510E+00,8.972E-02,-1.510E+00,8.972E-02,-1.510E+00,8.972E-02,-1.412E+00,8.536E-02,-1.412E+00,8.536E-02,-1.392E+00,7.551E-02,-1.533E+00,7.255E-02
6.818E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.541E+00,7.991E-02,-1.546E+00,8.048E-02,-1.546E+00,8.048E-02,-1.526E+00,7.286E-02,-1.526E+00,7.286E-02,-1.434E+00,7.537E-02,-1.655E+00,8.644E-02,-1.655E+00,8.644E-02,-1.655E+00,8.644E-02,-1.411E+00,7.822E-02,-1.411E+00,7.822E-02,-1.644E+00,7.753E-02,-1.501E+00,8.120E-02
6.977E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.598E+00,8.262E-02,-1.467E+00,8.007E-02,-1.467E+00,8.007E-02,-1.580E+00,7.587E-02,-1.580E+00,7.587E-02,-1.576E+00,8.559E-02,-1.391E+00,8.526E-02,-1.391E+00,8.526E-02,-1.391E+00,8.526E-02,-1.491E+00,8.245E-02,-1.491E+00,8.245E-02,-1.603E+00,8.364E-02,-1.590E+00,8.390E-02
7.140E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.530E+00,7.728E-02,-1.506E+00,8.119E-02,-1.506E+00,8.119E-02,-1.401E+00,8.316E-02,-1.401E+00,8.316E-02,-1.484E+00,7.021E-02,-1.382E+00,8.012E-02,-1.382E+00,8.012E-02,-1.382E+00,8.012E-02,-1.603E+00,8.055E-02,-1.603E+00,8.055E-02,-1.542E+00,7.932E-02,-1.520E+00,8.168E-02
7.307E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.416E+00,8.003E-02,-1.410E+00,8.358E-02,-1.410E+00,8.358E-02,-1.509E+00,8.179E-02,-1.509E+00,8.179E-02,-1.629E+00,7.772E-02,-1.545E+00,8.634E-02,-1.545E+00,8.634E-02,-1.545E+00,8.634E-02,-1.411E+00,8.804E-02,-1.411E+00,8.804E-02,-1.532E+00,8.784E-02,-1.638E+00,7.934E-02
7.477E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.474E+00,8.403E-02,-1.504E+00,8.291E-02,-1.504E+00,8.291E-02,-1.381E+00,8.449E-02,-1.381E+00,8.449E-02,-1.611E+00,7.710E-02,-1.503E+00,8.435E-02,-1.503E+00,8.435E-02,-1.503E+00,8.435E-02,-1.436E+00,8.920E-02,-1.436E+00,8.920E-02,-1.557E+00,7.570E-02,-1.409E+00,7.628E-02
7.652E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.510E+00,8.314E-02,-1.455E+00,7.419E-02,-1.455E+00,7.419E-02,-1.513E+00,8.330E-02,-1.513E+00,8.330E-02,-1.590E+00,8.408E-02,-1.478E+00,8.809E-02,-1.478E+00,8.809E-02,-1.478E+00,8.809E-02,-1.351E+00,8.485E-02,-1.351E+00,8.485E-02,-1.406E+00,8.395E-02,-1.421E+00,8.666E-02
7.830E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.493E+00,7.639E-02,-1.473E+00,8.860E-02,-1.473E+00,8.860E-02,-1.370E+00,8.844E-02,-1.370E+00,8.844E-02,-1.410E+00,8.389E-02,-1.495E+00,8.066E-02,-1.495E+00,8.066E-02,-1.495E+00,8.066E-02,-1.337E+00,7.892E-02,-1.337E+00,7.892E-02,-1.469E+00,7.882E-02,-1.635E+00,8.270E-02
