time,species_1,species_2,species_3,species_4,species_5
5.92200E+01,1.00000E-01,1.00256E-01,9.39133E-02,9.29259E-02,9.67865E-04
5.92300E+01,1.00000E-01,1.00256E-01,9.39411E-02,9.40747E-02,9.46489E-04
5.92400E+01,1.00000E-01,1.00296E-01,9.21769E-02,9.42308E-02,8.96446E-04
5.92500E+01,1.00000E-01,1.00321E-01,9.24405E-02,9.48253E-02,9.20991E-04
5.92600E+01,1.00000E-01,1.00389E-01,9.28600E-02,9.50006E-02,9.22931E-04
5.92700E+01,1.00000E-01,1.00355E-01,9.25204E-02,9.45359E-02,9.61920E-04
5.92800E+01,1.00000E-01,1.00268E-01,9.20983E-02,9.38032E-02,9.72625E-04
5.92900E+01,1.00000E-01,1.00326E-01,9.18861E-02,9.41715E-02,9.23341E-04
5.93000E+01,1.00000E-01,1.00247E-01,9.19736E-02,9.31432E-02,9.35521E-04
5.93100E+01,1.00000E-01,1.00267E-01,9.24909E-02,9.39284E-02,9.48744E-04
5.93200E+01,1.00000E-01,1.00401E-01,9.19315E-02,9.46638E-02,9.06727E-04
5.93300E+01,1.00000E-01,1.00386E-01,9.17744E-02,9.55586E-02,8.91238E-04
5.93400E+01,1.00000E-01,1.00507E-01,9.13504E-02,9.53751E-02,8.27103E-04
5.93500E+01,1.00000E-01,1.00665E-01,9.15940E-02,9.59702E-02,8.01622E-04
5.93600E+01,1.00000E-01,1.00576E-01,9.12091E-02,9.37599E-02,7.96524E-04
5.93700E+01,1.00000E-01,1.00640E-01,9.08074E-02,9.21866E-02,7.59033E-04
5.93800E+01,1.00000E-01,1.00762E-01,9.12610E-02,9.26583E-02,7.92748E-04
5.93900E+01,1.00000E-01,1.00739E-01,9.15378E-02,9.36368E-02,7.89421E-04
5.94000E+01,1.00000E-01,1.00897E-01,9.12152E-02,9.40290E-02,8.25787E-04
5.94100E+01,1.00000E-01,1.00808E-01,9.13890E-02,9.47385E-02,8.19027E-04
5.94200E+01,1.00000E-01,1.00906E-01,9.13021E-02,9.22041E-02,7.92435E-04
5.94300E+01,1.00000E-01,1.00825E-01,9.11756E-02,9.32179E-02,8.02477E-04
5.94400E+01,1.00000E-01,1.00660E-01,9.07521E-02,9.37004E-02,8.07344E-04
5.94500E+01,1.00000E-01,1.00660E-01,9.07169E-02,9.26547E-02,8.64350E-04
5.94600E+01,1.00000E-01,1.00789E-01,9.10816E-02,9.31272E-02,7.98773E-04
5.94700E+01,1.00000E-01,1.00843E-01,9.13950E-02,9.31631E-02,7.46627E-04
5.94800E+01,1.00000E-01,1.00689E-01,9.05764E-02,9.39533E-02,7.72427E-04
5.94900E+01,1.00000E-01,1.00602E-01,9.04319E-02,9.55183E-02,7.77855E-04
5.95000E+01,1.00000E-01,1.00461E-01,9.11027E-02,9.53421E-02,7.90426E-04
5.95100E+01,1.00000E-01,1.00410E-01,9.08707E-02,9.62500E-02,7.76439E-04
5.95200E+01,1.00000E-01,1.00458E-01,9.13130E-02,9.42330E-02,7.14141E-04
5.95300E+01,1.00000E-01,1.00494E-01,9.12434E-02,9.50301E-02,7.05088E-04
5.95400E+01,1.00000E-01,1.00521E-01,9.26225E-02,9.42994E-02,6.82183E-04
5.95500E+01,1.00000E-01,1.00519E-01,9.33585E-02,9.49711E-02,6.66934E-04
5.95600E+01,1.00000E-01,1.00699E-01,9.38502E-02,9.62577E-02,6.33369E-04
5.95700E+01,1.00000E-01,1.00667E-01,9.38918E-02,9.52704E-02,6.20156E-04
5.95800E+01,1.00000E-01,1.00529E-01,9.38760E-02,9.52002E-02,6.16501E-04
5.95900E+01,1.00000E-01,1.00537E-01,9.36381E-02,9.50453E-02,5.97372E-04
5.96000E+01,1.00000E-01,1.00355E-01,9.38970E-02,9.58353E-02,6.19999E-04
5.96100E+01,1.00000E-01,1.00259E-01,9.29342E-02,9.45499E-02,5.65679E-04
5.96200E+01,1.00000E-01,1.00009E-01,9.24691E-02,9.51267E-02,5.57834E-04
5.96300E+01,1.00000E-01,1.00137E-01,9.22923E-02,9.39273E-02,5.67957E-04
5.96400E+01,1.00000E-01,1.00272E-01,9.14208E-02,9.47432E-02,5.58086E-04
5.96500E+01,1.00000E-01,1.00417E-01,9.11811E-02,9.52309E-02,5.49802E-04
5.96600E+01,1.00000E-01,1.00361E-01,9.14130E-02,9.54065E-02,5.22627E-04
5.96700E+01,1.00000E-01,1.00432E-01,9.15563E-02,9.55572E-02,5.12572E-04
5.96800E+01,1.00000E-01,1.00556E-01,9.21525E-02,9.51365E-02,5.13767E-04
5.96900E+01,1.00000E-01,1.00611E-01,9.23740E-02,9.35636E-02,5.11219E-04
5.97000E+01,1.00000E-01,1.00577E-01,9.28593E-02,9.38818E-02,5.29620E-04
5.97100E+01,1.00000E-01,1.00599E-01,9.25889E-02,9.34952E-02,4.94440E-04
5.97200E+01,1.00000E-01,1.00643E-01,9.25431E-02,9.22335E-02,4.98781E-04
5.97300E+01,1.00000E-01,1.00601E-01,9.22349E-02,9.22597E-02,5.29691E-04
5.97400E+01,1.00000E-01,1.00667E-01,9.15798E-02,9.15408E-02,5.58028E-04
5.97500E+01,1.00000E-01,1.00592E-01,9.12747E-02,9.28566E-02,5.82140E-04
5.97600E+01,1.00000E-01,1.00513E-01,9.08992E-02,9.24909E-02,5.59823E-04
5.97700E+01,1.00000E-01,1.00545E-01,9.02774E-02,9.31525E-02,5.87567E-04
5.97800E+01,1.00000E-01,1.00369E-01,9.01887E-02,9.43666E-02,5.77743E-04
5.97900E+01,1.00000E-01,1.00395E-01,9.11584E-02,9.39857E-02,5.76712E-04
5.98000E+01,1.00000E-01,1.00579E-01,9.16700E-02,9.45998E-02,5.71161E-04
